,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
5,CAF003,493383.1071,5180586.081,Naff,Btb2,98,153,55,1.72,6.75,5
10,CAF005,493446.9111,5180572.12,Palouse,Bw2,97,153,56,1.48,6.85,5
15,CAF007,493510.7264,5180568.273,Palouse,Bwb,100,153,53,1.53,6.7,5
20,CAF009,493574.5508,5180572.871,Palouse,Bwb,103,153,50,1.51,7.07,5
25,CAF011,493638.3683,5180571.025,Palouse,Bw2,93,153,60,1.71,6.81,5
30,CAF013,493702.2,5180582.737,Naff,Btb2,105,153,48,1.68,6.62,5
35,CAF015,493797.9223,5180576.303,Latah,Btb1,79,110,31,1.63,6.16,5
41,CAF017,493893.6615,5180586.206,Palouse,Bw,90,153,63,1.54,6.09,5
46,CAF019,493246.5977,5180590.191,Latah,Btb1,82,110,28,1.69,6.38,5
53,CAF021,493309.2174,5180591.83,Staley,Bwk1,69,114,45,1.31,7.53,5
59,CAF023,493371.4556,5180609.627,Palouse,Bw2,79,122,43,1.65,,5
65,CAF025,493436.8807,5180614.469,Naff,EB2,77,106,29,1.64,6.49,5
71,CAF027,493502.3017,5180616.156,Palouse,Bw3,96,128,32,1.33,7.51,5
77,CAF029,493564.5137,5180609.886,Staley,Ck1,92,137,45,1.49,7.53,5
83,CAF031,493628.3346,5180611.596,Palouse,Bw2,88,127,39,1.68,6.73,5
89,CAF033,493692.1524,5180610.417,Staley,Bk3,96,135,39,1.56,7.46,5
95,CAF035,493755.9527,5180592.46,Naff,B/C,70,87,17,1.86,6.48,5
102,CAF037,493819.788,5180608.062,Latah,Btk1,69,98,29,1.71,7.64,5
109,CAF039,493883.6204,5180621.22,Latah,Btb1,78,123,45,1.62,7.56,5
115,CAF041,493947.432,5180613.932,Palouse,Btb,105,153,48,1.69,6.49,5
120,CAF043,493257.9566,5180626.446,Latah,EB,89,119,30,1.64,5.88,5
126,CAF045,493323.2034,5180641.411,Palouse,Bw2,105,131,26,1.45,7.69,5
132,CAF047,493385.6199,5180649.64,Palouse,Bwb,124,153,29,1.34,,5
137,CAF049,493449.4233,5180635.68,Palouse,Bw1,88,104,16,1.5,6.52,5
144,CAF051,493514.0376,5180631.032,Palouse,Bw2,93,131,38,1.51,6.65,5
150,CAF053,493577.0617,5180636.431,Palouse,Btb,84,122,38,1.61,6.96,5
