,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
156,CAF055,493640.8785,5180634.585,Palouse,Bwb,122,153,31,1.3,7.61,5
161,CAF057,493704.7095,5180646.296,Staley,Bwk,114,153,39,1.29,7.81,5
166,CAF059,493770.7974,5180636.942,Palouse,Bw2,107,133,26,1.65,6.52,5
172,CAF061,493832.3237,5180623.828,Naff,EB2,67,83,16,1.47,6.2,5
180,CAF063,493896.169,5180649.766,Naff,BE2,85,114,29,1.19,6.65,5
186,CAF065,493959.9746,5180636.922,Thatuna,Btb1,94,128,34,1.69,6.16,5
192,CAF067,494023.7952,5180638.747,Thatuna,BE2,83,104,21,1.61,6.35,5
199,CAF069,493296.5399,5180655.406,Thatuna,EB,76,91,15,1.67,5.5,5
206,CAF071,493360.3768,5180672.003,Staley,Bk1,94,127,33,1.38,7.65,5
212,CAF073,493421.8027,5180680.044,Staley,Bw2,85,116,31,1.28,,5
219,CAF075,493488.0228,5180680.531,Thatuna,BE,72,95,23,1.53,6.49,5
226,CAF077,493551.8335,5180673.461,Palouse,Bw1,96,123,27,1.52,6.87,5
232,CAF079,493615.6537,5180675.171,Thatuna,E,74,88,14,1.58,6.38,5
239,CAF081,493679.4708,5180673.992,Thatuna,Btb2,99,124,25,1.66,6.65,5
245,CAF083,493743.2704,5180656.035,Palouse,Bw2,90.5,115.5,25,1.63,6.47,5
251,CAF085,493807.105,5180671.637,Palouse,Bw2,90,112,22,1.64,6.61,5
257,CAF087,493870.9368,5180684.795,Naff,Btb2,102,125,23,1.67,6.62,5
263,CAF089,493935.2029,5180676.141,Palouse,Bw2,70,112,42,1.74,6.84,5
269,CAF091,493998.5585,5180669.998,Naff,Btb,86,125,39,1.64,6.56,5
275,CAF093,494062.3704,5180663.489,Thatuna,Btb1,84,121,37,1.73,6.37,5
281,CAF095,493276.7264,5180689.078,Latah,Bwb1,80,92,12,1.56,6.97,5
289,CAF097,493339.9564,5180706.363,Thatuna,Btb1,75,104.5,29.5,1.69,5.74,5
296,CAF099,493403.7819,5180713.182,Staley,Bw2,78,106,28,1.37,6.66,5
304,CAF101,493467.5846,5180699.222,Palouse,Bw3,103,132,29,1.55,6.72,5
310,CAF103,493531.3986,5180695.374,Thatuna,BE2,74,84,10,1.56,6.78,5
317,CAF105,493595.2216,5180699.973,Thatuna,E,75,90,15,1.71,6.01,5
324,CAF107,493659.0377,5180698.127,Thatuna,Btb1,75,108.5,33.5,1.62,6.31,5
331,CAF109,493725.5766,5180706.699,Thatuna,Btb2,119,145,26,1.66,6.77,5
337,CAF111,493786.6792,5180703.217,Naff,BE,80,113,33,1.71,6.47,5
344,CAF113,493851.8467,5180685.551,Naff,Btb2,88,124,36,1.75,6.47,5
350,CAF115,493915.6912,5180711.488,Naff,Btb1,87,130,43,1.75,6.45,5
356,CAF117,493978.1305,5180700.466,Naff,Btb1,86,118,32,1.7,6.69,5
362,CAF119,494044.2265,5180700.47,Naff,Btb1,84,102,18,1.73,6.53,5
369,CAF121,494105.7794,5180713.451,Naff,Btb,82,102,20,,,5
376,CAF123,493337.2435,5180738.147,Latah,BE1,97,122,25,1.42,5.43,5
382,CAF125,493401.0687,5180744.966,Thatuna,Btb1,85,112,27,1.64,6.31,5
388,CAF127,493466.0706,5180730.206,Staley,Ck,107,153,46,1.66,6.79,5
393,CAF129,493528.6847,5180727.158,Thatuna,Btb1,72,103,31,1.64,6.41,5
399,CAF131,493592.5074,5180731.757,Thatuna,EB1,75,100,25,1.54,6.29,5
405,CAF133,493656.3232,5180729.911,Thatuna,E,95,117,22,1.71,6.24,5
411,CAF135,493720.1532,5180741.623,Palouse,Bw2,86,114,28,1.69,6.33,5
417,CAF137,493782.1431,5180736.366,Naff,Btb1,76,123,47,1.63,6.63,5
423,CAF139,493847.7654,5180719.155,Naff,Btb2,125,153,28,1.38,6.86,5
428,CAF141,493911.6096,5180745.093,Naff,Btb1,54,100,46,1.63,6.27,5
434,CAF143,493976.78,5180731.339,Naff,Bwb,70,101,31,1.64,6.16,5
441,CAF145,494039.2338,5180734.075,Naff,Btb1,68,125,57,1.67,6.19,5
447,CAF147,494103.0625,5180745.235,Naff,Btb2,85,145,60,1.61,5.92,5
453,CAF149,493350.8639,5180767.357,Palouse,Bwb1,90,114,24,1.43,5.87,5
459,CAF151,493417.8866,5180770.999,Palouse,Bwb,109,148,39,1.66,6.51,5
464,CAF153,493478.5079,5180775.884,Palouse,Bwb,120,153,33,1.33,,5
469,CAF155,493542.3175,5180768.814,Thatuna,Btb2,98,153,55,1.67,6.83,5
474,CAF157,493606.1367,5180770.524,Thatuna,Btb2,89,106,17,1.53,7.53,5
480,CAF159,493669.9528,5180769.345,Palouse,Btb,127,153,26,1.61,7.09,5
485,CAF161,493733.7514,5180751.388,Thatuna,E,122,142,20,1.68,6.22,5
491,CAF163,493797.585,5180766.989,Palouse,Btb,122,153,31,1.72,6.38,5
496,CAF165,493861.4158,5180780.147,Palouse,Bwb,138,153,15,1.64,6.53,5
501,CAF167,493925.2257,5180772.86,Palouse,Bw2,81,103,22,1.64,7.09,5
507,CAF169,493989.0354,5180765.35,Naff,Btb,107,150,43,1.72,6.17,5
512,CAF171,494052.8464,5180758.841,Naff,Btb2,106,153,47,1.66,6.13,5
517,CAF173,494116.657,5180751.889,Thatuna,Btb2,103,153,50,1.73,6.02,5
522,CAF175,493367.9983,5180799.119,Latah,Bw,69,110,41,1.59,6.52,5
529,CAF177,493431.822,5180805.16,Palouse,Bwb,129,153,24,1.8,6.58,5
534,CAF179,493495.6416,5180807.646,Thatuna,Bwb1,98,126,28,1.6,,5
540,CAF181,493559.451,5180800.577,Thatuna,Btb1,84,102,18,1.52,6.55,5
546,CAF183,493623.2698,5180802.287,Palouse,Bwb2,122,147,25,,,5
551,CAF185,493687.0856,5180801.108,Thatuna,Btb2,112,153,41,1.61,6.56,5
556,CAF187,493750.8839,5180783.151,Thatuna,Btb2,69,86,17,1.68,6.33,5
563,CAF189,493814.7171,5180798.753,Palouse,Bw2,94,116,22,1.47,6.12,5
569,CAF193,493942.3571,5180804.623,Palouse,Bwb,122,153,31,1.44,7.26,5
574,CAF195,494006.1666,5180797.114,Palouse,Bwb1,92,114,22,1.5,6.94,5
580,CAF197,494069.9772,5180790.605,Palouse,Bwb2,120,153,33,1.38,7.41,5
585,CAF199,494133.7875,5180783.653,Thatuna,E,85,108,23,1.82,6.14,5
591,CAF201,493416.666,5180836.958,Thatuna,Bwb2,120,153,33,,,5
596,CAF203,493480.4853,5180839.444,Thatuna,Btb1,79,102,23,1.68,6.66,5
602,CAF205,493544.2943,5180832.374,Palouse,Eb,84,97,13,1.49,6.49,5
608,CAF207,493606.5134,5180835.683,Palouse,Bw2,93,135,42,1.58,6.36,5
614,CAF209,493671.9282,5180832.905,Naff,EB,109,139,30,1.58,6.67,5
620,CAF211,493735.7261,5180814.947,Thatuna,Btb3,126,153,27,1.67,6.66,5
625,CAF213,493799.5591,5180830.549,Thatuna,2R,117,135,18,1.71,5.96,5
631,CAF215,493859.7475,5180844.162,Palouse,Bwb,88,130,42,1.45,6.01,5
637,CAF217,493927.1984,5180836.419,Palouse,Bwb2,119,153,34,1.6,6.96,5
642,CAF219,493991.0075,5180828.91,Palouse,Bwb2,116,153,37,1.44,6.91,5
647,CAF221,494054.8177,5180822.401,Palouse,Bwb2,118,153,35,1.54,6.68,5
652,CAF223,494118.6277,5180815.449,Palouse,Bwb2,91,141,50,1.76,6.48,5
658,CAF225,493412.6587,5180872.077,Palouse,Btb,101,153,52,1.67,6.31,5
663,CAF227,493478.459,5180856.118,Palouse,Bwb2,121,153,32,1.63,7.01,5
668,CAF229,493540.2721,5180854.27,Naff,Btb,101,153,52,1.54,,5
673,CAF231,493604.0934,5180858.868,Palouse,Bwb1,87,107,20,1.72,7.05,5
679,CAF233,493667.9079,5180857.023,Staley,Bkb,118,153,35,1.16,7.65,5
684,CAF235,493731.7365,5180868.735,Palouse,Bwb,115,153,38,1.53,6.86,5
689,CAF237,493798.2411,5180860.384,Palouse,Btb2,125,153,28,1.58,6.45,5
694,CAF239,493858.4356,5180848.088,Palouse,Bw2,103,128,25,1.46,5.99,5
700,CAF241,493923.1888,5180872.205,Palouse,Bwb2,126,153,27,1.61,6.87,5
705,CAF243,493986.9922,5180859.362,Palouse,Bwb1,102,128,26,1.45,6.62,5
711,CAF245,494050.8104,5180861.187,Palouse,Bw3,84,118,34,1.6,6.44,5
717,CAF247,494114.6377,5180872.347,Palouse,Bwb,105,153,48,1.55,6.78,5
722,CAF249,493445.5787,5180889.931,Thatuna,BEb,99,115,16,1.64,5.98,5
729,CAF251,493509.3906,5180886.084,Staley,Bwkb2,111,132,21,1.51,7.64,5
735,CAF253,493573.2116,5180890.682,Staley,Bwkb,124,152,28,1.49,8.72,5
740,CAF255,493637.0257,5180888.836,Palouse,Bw2,99,136,37,1.65,6.51,5
746,CAF257,493700.8541,5180900.548,Palouse,Cb,130,153,23,1.34,7.2,5
751,CAF259,493764.6632,5180893.925,Palouse,Btb,122,153,31,1.72,6.81,5
756,CAF261,493828.4629,5180878.08,Staley,Bkb,119,153,34,1.66,6.71,5
761,CAF263,493892.3055,5180904.017,Palouse,Bwb2,125,153,28,1.6,6.64,5
766,CAF265,493957.4741,5180890.263,Palouse,Bwb,128,153,25,1.42,6.87,5
771,CAF267,494019.9263,5180892.999,Palouse,Bwb,104,153,49,1.74,6.76,5
776,CAF269,494083.7533,5180904.159,Thatuna,E,90,111,21,1.82,6.17,5
782,CAF271,494147.5581,5180892.762,Palouse,Bw2,93,127,34,1.68,6.98,5
788,CAF273,493498.4511,5180934.767,Thatuna,Btb2,124,153,29,1.74,6.45,5
793,CAF275,493560.6597,5180928.897,Palouse,Bwb,111,153,42,1.65,6.62,5
798,CAF277,493626.0766,5180929.408,Staley,Bwb,128,153,25,1.33,8.61,5
803,CAF279,493690.9522,5180926.713,Palouse,Bwb,116,153,37,1.71,6.59,5
808,CAF281,493754.8875,5180909.472,Staley,Bkb2,110,153,43,1.41,7.63,5
813,CAF283,493817.5199,5180925.874,Palouse,Bwb2,127,153,26,1.63,7.07,5
818,CAF285,493881.3489,5180939.032,Palouse,Bwb,115,153,38,1.58,6.88,5
823,CAF287,493945.1571,5180931.744,Palouse,Bwb,99,153,54,1.54,7,5
828,CAF289,494008.9652,5180924.235,Palouse,Bwb,112,127,15,1.46,7.09,5
834,CAF291,494072.7745,5180917.726,Palouse,Btb1,85,114,29,1.65,6.73,5
840,CAF293,494136.5834,5180910.774,Palouse,Bwb,117,153,36,1.68,6.54,5
845,CAF298,493502.6076,5180966.544,Palouse,Bwb2,128,153,25,1.71,6.29,5
850,CAF300,493566.4152,5180959.474,Thatuna,Bwb,108,153,45,1.69,6.71,5
855,CAF302,493631.4319,5180959.585,Palouse,Bw2,104,125,21,1.58,6.85,5
861,CAF304,493694.0464,5180960.006,Palouse,Bwb2,123,153,30,1.48,6.69,5
866,CAF306,493757.8431,5180942.048,Palouse,Bwb,120,153,33,1.58,6.92,5
871,CAF308,493821.6746,5180957.65,Palouse,Bwb2,127,153,26,1.45,7.04,5
876,CAF310,493885.5034,5180970.809,Thatuna,Bwb,114,153,39,1.2,6.86,5
881,CAF312,493946.5799,5180965.797,Palouse,Bwb,110,153,43,1.6,6.55,5
886,CAF314,494013.119,5180956.012,Thatuna,Btb2,113,153,40,1.68,6.37,5
891,CAF316,494076.9279,5180949.503,Thatuna,Ab,105,121,16,1.69,6.79,5
897,CAF324,493530.6382,5180981.404,Palouse,Bwb,103,153,50,1.72,6.31,5
902,CAF326,493594.4582,5180986.002,Palouse,Bw2,97,141,44,1.66,6.56,5
908,CAF328,493658.2713,5180984.157,Palouse,Bwb,127,153,26,1.39,6.95,5
913,CAF330,493722.0986,5180995.869,Palouse,Bwb1,92,133,41,1.47,6.68,5
919,CAF332,493785.9066,5180989.246,Palouse,Bw3,107,135,28,1.44,6.89,5
925,CAF334,493849.7054,5180973.401,Palouse,Bw3,97,126,29,1.59,6.69,5
931,CAF336,493913.5469,5180999.338,Palouse,Bwb,120,153,33,1.68,6.42,5
936,CAF338,493977.9553,5180985.889,Thatuna,E/B,88,125,37,1.68,5.95,5
942,CAF349,493572.819,5181023.029,Palouse,Bw,89,109,20,1.66,6.24,5
948,CAF351,493636.6355,5181024.739,Staley,Bwk,112,153,41,,6.62,5
953,CAF353,493700.4489,5181023.561,Palouse,Bwb,120,153,33,1.59,6.66,5
958,CAF355,493764.2449,5181005.603,Palouse,Bwb,107,153,46,1.67,6.66,5
963,CAF357,493828.0757,5181021.206,Palouse,Bw3,74,103,29,1.43,6.49,5
969,CAF359,493891.9038,5181034.364,Palouse,Bwb2,119,153,34,1.76,6.26,5
974,CAF371,493570.4942,5181049.809,Latah,Btb2,89,117,28,1.61,5.94,5
980,CAF373,493635.3715,5181056.522,Thatuna,Btb1,96,124,28,1.66,6.35,5
986,CAF375,493700.3841,5181054.144,Palouse,Bw3,106,135,29,1.61,6.72,5
992,CAF377,493767.3783,5181033.528,Palouse,Bw2,107,133,26,1.61,6.87,5
998,CAF379,493826.8108,5181052.988,Palouse,Bwb,120,153,33,1.49,6.56,5
1003,CAF381,493890.6385,5181066.146,Thatuna,EB,74,89,15,1.73,6.21,5
1010,CAF395,493626.398,5181088.312,Caldwell,Bwg,87,112,25,1.71,5.96,5
1016,CAF397,493690.2107,5181087.133,Palouse,Bw2,67,94,27,1.54,,5
1023,CAF399,493754.006,5181069.176,Thatuna,Btb,103,152,49,1.6,6.11,5
1028,CAF401,493817.8362,5181084.778,Thatuna,Btb1,97,128,31,1.68,6.22,5
1034,CAF419,493648.3558,5181104.302,Thatuna,E,66,87,21,1.65,5.77,5
1042,CAF421,493712.7748,5181114.814,Latah,Btb1,98,126,28,1.62,,5
1048,CAF423,493780.1935,5181114.779,Latah,BE,106,128,22,1.68,5.67,5
1055,CAF425,493841.5918,5181100.533,Caldwell,Bwgb,109,153,44,1.71,6.09,5
