cat,X,Y,elevation
166,493900.1337,5180939.165,800
167,493920.2421,5180934.932,800
168,493944.0546,5180929.111,800
169,493966.8088,5180925.407,800
170,493992.2089,5180919.057,800
171,494010.2006,5180913.236,800
172,494014.4339,5180896.832,800
173,494014.4339,5180878.311,800
174,494029.2506,5180867.198,800
175,494053.5923,5180861.907,800
176,494071.584,5180861.378,800
177,494092.7507,5180860.848,800
178,494110.2133,5180858.732,800
179,494126.6175,5180856.086,800
180,494138.2592,5180843.915,800
181,494145.6675,5180825.923,800
182,494146.1967,5180806.873,800
183,494144.08,5180783.59,800
184,494146.7258,5180762.423,800
185,494148.8425,5180747.077,800
186,494155.7217,5180730.673,800
187,494164.1995,5180774.107,797.5
188,494162.9295,5180800.459,797.5
189,494159.437,5180822.208,797.5
190,494153.2457,5180837.131,797.5
191,494149.277,5180851.736,797.5
192,494145.467,5180863.007,797.5
193,494134.037,5180874.278,797.5
194,494115.1457,5180874.278,797.5
195,494093.5556,5180873.167,797.5
196,494075.1406,5180875.548,797.5
197,494058.6306,5180876.501,797.5
198,494041.9618,5180885.391,797.5
199,494047.6768,5180897.773,797.5
200,494049.423,5180913.489,797.5
201,494032.913,5180920.316,797.5
202,494019.4192,5180928.571,797.5
203,494004.8142,5180935.873,797.5
204,493985.2879,5180944.446,797.5
205,493962.0443,5180950.831,797.5
206,493932.0499,5180961.083,797.5
207,493912.6864,5180970.195,797.5
208,493888.3872,5180981.585,797.5
209,493869.783,5180990.697,797.5
210,493855.735,5180997.911,797.5
211,493827.2593,5181003.227,797.5
212,493801.4413,5181005.505,797.5
213,493777.1421,5181005.505,797.5
214,493755.8802,5180998.291,797.5
215,493731.9606,5180988.04,797.5
216,493719.4313,5180977.409,797.5
217,493716.0142,5180958.805,797.5
218,493710.3191,5180936.404,797.5
219,493725.8858,5180920.078,797.5
220,493748.2867,5180910.965,797.5
221,493769.1689,5180901.853,797.5
222,493785.4949,5180898.436,797.5
223,493802.5804,5180900.714,797.5
224,493822.7032,5180900.334,797.5
225,493841.687,5180888.565,797.5
226,493856.874,5180879.073,797.5
227,493864.0879,5180863.886,797.5
228,493864.0879,5180850.217,797.5
229,493859.5318,5180825.538,797.5
230,493842.4464,5180803.517,797.5
231,493826.1203,5180794.405,797.5
232,493815.4893,5180782.635,797.5
233,493806.7568,5180771.624,797.5
234,493794.9868,5180754.919,797.5
235,493777.3462,5180726.442,797.5
236,493800.365,5180708.979,797.5
237,493835.29,5180702.629,797.5
238,493862.2776,5180696.279,797.5
239,493894.8214,5180683.579,797.5
240,493930.5402,5180671.673,797.5
241,493963.8778,5180658.973,797.5
242,493978.1653,5180640.717,797.5
243,493966.259,5180616.11,797.5
244,493957.5278,5180601.029,797.5
245,493886.8839,5180574.835,795
246,493912.2839,5180589.123,795
247,493928.9527,5180606.585,795
248,493936.0965,5180631.985,795
249,493908.3152,5180650.242,795
250,493877.3589,5180662.942,795
251,493837.6713,5180674.054,795
252,493813.065,5180676.435,795
253,493786.0774,5180680.404,795
254,493763.8524,5180670.085,795
255,493746.3899,5180658.973,795
256,493728.9273,5180640.717,795
257,493714.6398,5180622.46,795
258,493698.7648,5180611.348,795
259,493663.0459,5180609.76,795
260,493632.0896,5180610.554,795
261,493599.5458,5180611.348,795
262,493571.7645,5180615.317,795
263,493552.7145,5180623.254,795
264,493591.6083,5180642.304,795
265,493624.1521,5180647.86,795
266,493655.1084,5180657.385,795
267,493684.4772,5180666.91,795
268,493709.8773,5180681.198,795
269,493732.8961,5180710.567,795
270,493751.1524,5180731.998,795
271,493767.8211,5180753.429,795
272,493786.0774,5180769.304,795
273,493804.3337,5180784.386,795
274,493818.6212,5180797.879,795
275,493833.7025,5180811.373,795
276,493844.8151,5180820.898,795
277,493852.7526,5180841.536,795
278,493851.1651,5180860.586,795
279,493831.3213,5180871.698,795
280,493809.89,5180880.43,795
281,493785.2837,5180874.873,795
282,493763.8524,5180881.223,795
283,493735.2773,5180889.161,795
284,493710.671,5180893.923,795
285,493692.4147,5180898.686,795
286,493673.3647,5180916.148,795
287,493663.8397,5180939.961,795
288,493659.0772,5180957.424,795
289,493666.2209,5180979.649,795
290,493686.0647,5181000.286,795
291,493705.9085,5181012.986,795
292,493731.3086,5181021.717,795
293,493751.9461,5181026.48,795
294,493776.5524,5181032.036,795
295,493800.365,5181033.624,795
296,493831.3213,5181030.449,795
297,493855.9276,5181024.099,795
298,493877.3589,5181013.78,795
299,493895.6152,5181005.049,795
300,493917.8402,5180992.349,795
301,493936.0965,5180979.649,795
302,493962.2903,5180970.917,795
303,493982.9278,5180963.774,795
304,494004.3591,5180951.074,795
305,494024.2029,5180941.548,795
306,494040.0779,5180930.436,795
307,494054.3655,5180923.292,795
308,494067.8592,5180909.798,795
309,494071.828,5180893.13,795
310,494094.8468,5180889.161,795
311,494115.4843,5180889.955,795
312,494133.7406,5180895.511,795
313,494151.2032,5180889.161,795
314,494162.3157,5180870.905,795
315,494168.6657,5180847.886,795
316,494131.3594,5180932.023,792.5
317,494115.4843,5180923.292,792.5
318,494098.0218,5180916.148,792.5
319,494071.828,5180929.642,792.5
320,494046.428,5180939.961,792.5
