,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon,Ap,cv40sm0.1,cv40sm0.25,cv40sm0.5,cm40sm0.75,cv40sm1,cv40sm1.5,cv40sm2,cv80sm0.1,cv80sm.25,cv80sm0.5,cv80sm0.75,cv80sm1,cv80sm1.5,cv80sm2,cv120sm0,cv120sm0.25,cv120sm0.5,cv120sm0.75,cv120sm1,cv120sm1.5,cv160sm0,cv160sm0.25,cv160sm0.5,cv160sm0.75,cv160sm1,cv160sm1.5,cv160sm2
988,CAF377,493767.3783,5181033.528,Palouse,Ap,0,21,21,1.28,4.51,1,1,-1.134066,-0.311985,0.026693,0.164719,0.249717,0.361345,0.439382,-0.233458,-0.035941,0.158269,0.275835,0.356933,0.466756,0.54295,0.308887,0.363452,0.433248,0.486612,0.529836,0.598276,0.444914,0.444914,0.539639,0.575613,0.607077,0.661018,0.707227
994,CAF379,493826.8108,5181052.988,Palouse,Ap,0,15,15,1.32,4.74,1,1,8.02434,4.727571,2.687883,1.703935,1.103365,0.390003,-0.028433,3.902743,3.189432,2.375485,1.813259,1.39499,0.80655,0.408072,1.667472,1.423044,1.090645,0.824905,0.606516,0.267136,1.008606,1.008606,0.549487,0.374636,0.225081,-0.017811,-0.206919
999,CAF381,493890.6385,5181066.146,Thatuna,Ap,0,19,19,1.41,4.33,1,1,8.132061,7.517333,7.29139,7.133351,6.993177,6.756812,6.569069,8.093305,7.811409,7.501584,7.287647,7.12376,6.87856,6.697207,7.318988,7.211977,7.063268,6.940487,6.836076,6.665705,7.041491,7.041491,6.819943,6.731297,6.65314,6.520914,6.412817
1006,CAF395,493626.398,5181088.312,Caldwell,Ap1,0,11,11,1.38,3.96,1,1,4.28273,3.325986,2.830228,2.618231,2.490475,2.329566,2.225211,3.174871,3.024563,2.850795,2.729958,2.639232,2.509018,2.418079,2.687737,2.638445,2.57013,2.514299,2.467478,2.392833,2.555633,2.555633,2.458592,2.420474,2.387347,2.332609,2.289454
1012,CAF397,493690.2107,5181087.133,Palouse,Ap,0,9,9,1.35,,1,1,8.939961,7.321459,6.302026,5.812784,5.514063,5.156547,4.944173,6.908888,6.573316,6.175428,5.894772,5.68414,5.386457,5.184788,5.829684,5.709487,5.543736,5.409914,5.299403,5.12733,5.50112,5.50112,5.270789,5.1825,5.106933,4.984451,4.889714
1019,CAF399,493754.006,5181069.176,Thatuna,Ap,0,18,18,1.38,4.67,1,1,-3.170915,-2.119505,-1.525401,-1.276062,-1.145633,-1.023049,-0.972093,-2.255784,-2.034155,-1.777645,-1.603398,-1.477924,-1.310857,-1.205785,-1.724772,-1.64159,-1.529909,-1.442602,-1.372617,-1.26755,-1.546203,-1.546203,-1.39087,-1.333652,-1.285654,-1.209433,-1.151156
1024,CAF401,493817.8362,5181084.778,Thatuna,Ap,0,12,12,1.42,4.4,1,1,4.477084,4.093997,4.158587,4.301048,4.430375,4.630233,4.772735,4.605405,4.595923,4.616157,4.653851,4.696882,4.783006,4.861523,4.682755,4.705335,4.744932,4.784614,4.823097,4.894711,4.757985,4.757985,4.834412,4.870379,4.904516,4.96737,5.023639
1030,CAF419,493648.3558,5181104.302,Thatuna,Ap,0,11,11,1.27,4.15,1,1,-4.339826,-3.375859,-2.646899,-2.199253,-1.877113,-1.43191,-1.133242,-3.071275,-2.8512,-2.551237,-2.30711,-2.101945,-1.772573,-1.517094,-2.320173,-2.200342,-2.022431,-1.866758,-1.729032,-1.49542,-1.985546,-1.985546,-1.701702,-1.582208,-1.474435,-1.287277,-1.129722
1038,CAF421,493712.7748,5181114.814,Latah,Ap,0,10,10,1.39,,1,1,4.467903,4.231576,3.957363,3.774867,3.633058,3.416137,3.254421,3.908568,3.839143,3.731629,3.635928,3.551028,3.407693,3.291583,3.634132,3.579822,3.499458,3.428904,3.366107,3.258693,3.485543,3.485543,3.353818,3.298386,3.248327,3.161324,3.088271
1044,CAF423,493780.1935,5181114.779,Latah,Ap,0,10,10,1.55,4.51,1,1,-2.503328,-3.357229,-3.82356,-4.064011,-4.224792,-4.435194,-4.569522,-3.632076,-3.802875,-3.997722,-4.132378,-4.233266,-4.377752,-4.478318,-4.152202,-4.212409,-4.295099,-4.361999,-4.417606,-4.505289,-4.313342,-4.313342,-4.430425,-4.475714,-4.514767,-4.578746,-4.628844
1051,CAF425,493841.5918,5181100.533,Caldwell,Ap,0,16,16,1.44,4.69,1,1,1.586327,0.851557,0.422071,0.192864,0.039011,-0.16101,-0.286849,0.820423,0.558978,0.306231,0.149457,0.038586,-0.112575,-0.213161,0.179065,0.09988,-0.000185,-0.075689,-0.135613,-0.225988,-0.015169,-0.015169,-0.146227,-0.193569,-0.233271,-0.296438,-0.344533
