,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon,Ap,cv40sm0.1,cv40sm0.25,cv40sm0.5,cm40sm0.75,cv40sm1,cv40sm1.5,cv40sm2,cv80sm0.1,cv80sm.25,cv80sm0.5,cv80sm0.75,cv80sm1,cv80sm1.5,cv80sm2,cv120sm0,cv120sm0.25,cv120sm0.5,cv120sm0.75,cv120sm1,cv120sm1.5,cv160sm0,cv160sm0.25,cv160sm0.5,cv160sm0.75,cv160sm1,cv160sm1.5,cv160sm2
195,CAF069,493296.5399,5180655.406,Thatuna,Ap,0,17,17,1.4,4.28,1,1,-3.336077,-4.586022,-5.26315,-5.53268,-5.664961,-5.766563,-5.778464,-4.247861,-4.534837,-4.852636,-5.054679,-5.189347,-5.344909,-5.4177,-5.004391,-5.091356,-5.199747,-5.275667,-5.328974,-5.391032,-5.217913,-5.217913,-5.336456,-5.370309,-5.392991,-5.414952,-5.416362
202,CAF071,493360.3768,5180672.003,Staley,Ap,0,13,13,1.5,4.42,1,1,4.349529,4.4887,4.227991,3.957383,3.740083,3.433475,3.235199,3.645027,3.6336,3.580357,3.512452,3.443313,3.318008,3.21528,3.465874,3.429801,3.370943,3.315695,3.264967,3.177304,3.354618,3.354618,3.251713,3.207112,3.166851,3.097932,3.042038
208,CAF073,493421.8027,5180680.044,Staley,Ap,0,10,10,1.32,,1,1,4.314896,3.842269,3.167524,2.68373,2.322438,1.812867,1.464515,3.100059,2.915934,2.6439,2.410534,2.209055,1.879169,1.619991,2.376652,2.258924,2.082791,1.927712,1.790004,1.555819,2.039516,2.039516,1.756181,1.636608,1.528726,1.341527,1.184392
215,CAF075,493488.0228,5180680.531,Thatuna,Ap,0,18,18,1.26,4.36,1,1,-0.464059,0.89594,1.845685,2.336713,2.656837,3.076927,3.361851,0.953479,1.32233,1.785091,2.130378,2.402669,2.814991,3.12238,2.178342,2.340906,2.572882,2.768512,2.937363,3.218275,2.632181,2.632181,2.981955,3.125501,3.254076,3.477189,3.666882
222,CAF077,493551.8335,5180673.461,Palouse,Ap,0,18,18,1.21,4.53,1,1,-2.236863,-2.338665,-2.838976,-3.188421,-3.417678,-3.671246,-3.781386,-2.715906,-2.793069,-2.9168,-3.021155,-3.104679,-3.219982,-3.285218,-3.044415,-3.088845,-3.150095,-3.197474,-3.233342,-3.278363,-3.165076,-3.165076,-3.241389,-3.265236,-3.281766,-3.297777,-3.297094
228,CAF079,493615.6537,5180675.171,Thatuna,Ap,0,10.5,10.5,1.22,3.95,1,1,1.235333,2.051383,2.657336,2.965785,3.162848,3.415919,3.583524,2.016866,2.21126,2.467257,2.666494,2.827995,3.078377,3.267901,2.691239,2.785911,2.923278,3.04092,3.143512,3.315603,2.958609,2.958609,3.170297,3.258114,3.337017,3.474032,3.59011
235,CAF081,493679.4708,5180673.992,Thatuna,Ap,0,10,10,1.23,4.16,1,1,0.118542,-0.086507,0.229399,0.570774,0.864924,1.332298,1.691166,1.154494,1.197781,1.320501,1.463678,1.60843,1.880559,2.122562,1.564743,1.646103,1.779385,1.90722,2.028524,2.251432,1.820064,1.820064,2.064803,2.177366,2.283701,2.479464,2.655701
241,CAF083,493743.2704,5180656.035,Palouse,Ap,0,19,19,1.43,4.39,1,1,3.60608,3.432129,3.483444,3.581214,3.679481,3.859494,4.017577,3.956002,4.00405,4.081301,4.153745,4.221611,4.345738,4.457411,4.218819,4.257861,4.320034,4.378886,4.434783,4.538964,4.340332,4.340332,4.453007,4.505441,4.555614,4.64999,4.737489
247,CAF085,493807.105,5180671.637,Palouse,Ap,0,12,12,1.24,4.53,1,1,-4.92091,-4.475674,-3.6564,-3.044487,-2.589254,-1.959287,-1.539523,-2.810289,-2.677411,-2.453679,-2.244525,-2.054989,-1.731554,-1.468547,-2.172477,-2.06625,-1.901968,-1.7529,-1.617567,-1.381787,-1.858659,-1.858659,-1.582522,-1.462635,-1.352925,-1.159163,-0.993098
253,CAF087,493870.9368,5180684.795,Naff,Ap,0,15,15,1.4,4.17,1,1,4.061326,4.828474,5.301984,5.496481,5.58964,5.654342,5.652157,4.867484,4.987258,5.123878,5.21016,5.265107,5.319691,5.33286,5.218069,5.24859,5.284291,5.30594,5.317497,5.320298,5.29327,5.29327,5.320597,5.322988,5.320321,5.304338,5.279053
259,CAF089,493935.2029,5180676.141,Palouse,Ap,0,13,13,1.33,4.27,1,1,1.8551,2.978518,3.966975,4.543698,4.929541,5.419029,5.719603,0.985091,1.502658,2.178477,2.698865,3.114621,3.740833,4.191952,1.058227,1.401379,1.890584,2.299529,2.646994,3.206557,0.943256,0.943256,1.823086,2.172591,2.477541,2.984271,3.388385
265,CAF091,493998.5585,5180669.998,Naff,Ap,0,22,22,1.31,4.79,1,1,5.497198,4.954995,4.400605,3.978324,3.639023,3.119459,2.732855,3.522709,3.353368,3.121517,2.925536,2.754361,2.465791,2.228971,2.76576,2.675898,2.536505,2.408961,2.291955,2.084618,2.489097,2.489097,2.25447,2.150369,2.053823,1.880091,1.727668
271,CAF093,494062.3704,5180663.489,Thatuna,Ap,0,18,18,1.26,4.33,1,1,9.561191,8.143881,6.801487,5.950823,5.351332,4.556117,4.051097,7.742248,7.377792,6.836806,6.385113,6.005533,5.404737,4.950747,6.322261,6.11906,5.811524,5.541274,5.303036,4.903393,5.751795,5.751795,5.265668,5.063632,4.882668,4.572063,4.315038
277,CAF095,493276.7264,5180689.078,Latah,Ap,0,10,10,1.39,4.23,1,1,0.942744,1.878199,2.816092,3.394412,3.790853,4.302646,4.620932,0.012256,0.468061,1.084614,1.574079,1.973433,2.587639,3.038846,-0.179933,0.154206,0.635742,1.042772,1.391716,1.959458,-0.393986,-0.393986,0.49225,0.848212,1.160571,1.683231,2.10327
285,CAF097,493339.9564,5180706.363,Thatuna,Ap,0,12,12,1.3,4.27,1,1,-3.65848,-2.55021,-1.899356,-1.668368,-1.574401,-1.529404,-1.549441,-1.950302,-1.846013,-1.727456,-1.656808,-1.616456,-1.587986,-1.596279,-1.558026,-1.540238,-1.522762,-1.517577,-1.520975,-1.543845,-1.470564,-1.470564,-1.47954,-1.491586,-1.507289,-1.54562,-1.58896
292,CAF099,493403.7819,5180713.182,Staley,Ap,0,18,18,1.3,4.77,1,1,0.377176,-0.034139,-0.563692,-0.949564,-1.255142,-1.725295,-2.080426,-0.402241,-0.609333,-0.90136,-1.146059,-1.356957,-1.707507,-1.991688,-1.121764,-1.253969,-1.450441,-1.623609,-1.778513,-2.046364,-1.489198,-1.489198,-1.810285,-1.947596,-2.072951,-2.294668,-2.485816
300,CAF101,493467.5846,5180699.222,Palouse,Ap,0,16,16,1.39,4.72,1,1,0.248764,1.478646,2.094972,2.294448,2.363105,2.365365,2.307965,1.320283,1.482681,1.652931,1.753271,1.813915,1.869927,1.880077,1.819715,1.849288,1.880816,1.897659,1.904558,1.899256,1.898273,1.898273,1.916992,1.914986,1.908447,1.886194,1.856284
306,CAF103,493531.3986,5180695.374,Thatuna,Ap,0,14,14,1.31,4.86,1,1,-10.109447,-9.873679,-9.851112,-9.842687,-9.821207,-9.755611,-9.680188,-9.727447,-9.817651,-9.766009,-9.70442,-9.651922,-9.568592,-9.503002,-9.287297,-9.401104,-9.423574,-9.409878,-9.389306,-9.346687,-8.961583,-8.961583,-9.251361,-9.250746,-9.241809,-9.217468,-9.192238
313,CAF105,493595.2216,5180699.973,Thatuna,Ap,0,20,20,1.42,5.03,1,1,6.919157,6.231329,5.911058,5.744399,5.609504,5.377119,5.17801,6.167678,5.996238,5.789112,5.627769,5.4927,5.270001,5.086959,5.741864,5.635743,5.499409,5.383396,5.279822,5.098493,5.596758,5.596758,5.320527,5.222612,5.133461,4.97396,4.833315
320,CAF107,493659.0377,5180698.127,Thatuna,Ap,0,23,23,1.52,5.01,1,1,-1.447227,-2.146325,-2.775235,-3.170226,-3.460459,-3.880968,-4.184739,-2.30235,-2.506549,-2.795106,-3.035952,-3.241912,-3.579903,-3.849597,-3.028951,-3.15044,-3.332793,-3.494395,-3.639117,-3.888866,-3.373224,-3.373224,-3.670945,-3.798472,-3.914753,-4.119781,-4.295641
327,CAF109,493725.5766,5180706.699,Thatuna,Ap,0,30,30,1.17,4.75,1,1,-1.179964,-1.573123,-1.470814,-1.300509,-1.161078,-0.977652,-0.878828,-1.399902,-1.466681,-1.493144,-1.475436,-1.442456,-1.369954,-1.308248,-1.582954,-1.564294,-1.527543,-1.489398,-1.453009,-1.389972,-1.549041,-1.549041,-1.472832,-1.438967,-1.408707,-1.358861,-1.321751
333,CAF111,493786.6792,5180703.217,Naff,Ap,0,23,23,1.39,4.68,1,1,-2.673248,-3.538106,-4.109135,-4.356842,-4.477581,-4.564705,-4.573579,-4.623718,-4.631905,-4.640641,-4.641017,-4.63632,-4.619483,-4.599323,-4.737945,-4.72084,-4.696476,-4.675028,-4.655748,-4.622467,-4.682692,-4.682692,-4.645019,-4.62694,-4.610587,-4.582585,-4.559998
340,CAF113,493851.8467,5180685.551,Naff,Ap,0,17.5,17.5,1.36,4.57,1,1,-4.060131,-3.171994,-2.613835,-2.371049,-2.248005,-2.154462,-2.148209,-3.152778,-3.014558,-2.855323,-2.750395,-2.67952,-2.599614,-2.567894,-2.73898,-2.698458,-2.647248,-2.61232,-2.58946,-2.568807,-2.621013,-2.621013,-2.576228,-2.564421,-2.558935,-2.561932,-2.57771
346,CAF115,493915.6912,5180711.488,Naff,Ap,0,22,22,1.47,4.74,1,1,-0.998986,-0.899225,-1.068638,-1.287507,-1.487422,-1.814284,-2.066826,-1.309162,-1.386165,-1.510813,-1.628788,-1.739032,-1.936533,-2.106782,-1.664542,-1.730774,-1.834114,-1.929493,-2.017763,-2.175883,-1.86158,-1.86158,-2.041548,-2.12184,-2.196578,-2.331593,-2.450317
352,CAF117,493978.1305,5180700.466,Naff,Ap,0,21,21,1.25,4.53,1,1,-1.874814,-1.700843,-1.198916,-0.747716,-0.3887,0.119036,0.446876,0.208729,0.239851,0.314853,0.398293,0.479508,0.622304,0.736299,0.596987,0.621398,0.667917,0.715728,0.761484,0.842345,0.707662,0.707662,0.791345,0.82994,0.865331,0.926144,0.974706
358,CAF119,494044.2265,5180700.47,Naff,Ap,0,20,20,1.33,4.83,1,1,4.393306,5.049964,5.357758,5.44971,5.484275,5.504249,5.503933,5.612474,5.670038,5.722928,5.745946,5.75308,5.743698,5.71983,5.819082,5.818665,5.81274,5.802167,5.788678,5.756877,5.816152,5.816152,5.789096,5.773417,5.756779,5.721925,5.686221
365,CAF121,494105.7794,5180713.451,Naff,Ap,0,20,20,1.34,,1,1,3.796573,3.123637,2.530536,2.167865,1.904395,1.519088,1.231418,2.858104,2.627768,2.317793,2.069629,1.863002,1.531078,1.268946,2.029551,1.906825,1.725665,1.567496,1.427075,1.185809,1.677934,1.677934,1.390101,1.267506,1.1557,0.957619,0.785735
372,CAF123,493337.2435,5180738.147,Latah,Ap,0,18,18,1.41,4.06,1,1,-2.933177,-2.877639,-2.792473,-2.748823,-2.725997,-2.709023,-2.710236,-3.561817,-3.468511,-3.352317,-3.269189,-3.207892,-3.126551,-3.078809,-3.33154,-3.291091,-3.236341,-3.194009,-3.161011,-3.114982,-3.222664,-3.222664,-3.153627,-3.129359,-3.110326,-3.084151,-3.069477
378,CAF125,493401.0687,5180744.966,Thatuna,Ap,0,16,16,1.41,4.44,1,1,-2.521357,-3.104063,-3.496862,-3.715539,-3.87135,-4.098358,-4.26807,-3.092584,-3.261632,-3.47578,-3.640896,-3.775814,-3.989749,-4.157497,-3.650806,-3.731537,-3.849101,-3.950983,-4.041117,-4.195709,-3.878729,-3.878729,-4.064044,-4.142404,-4.213842,-4.340516,-4.450698
384,CAF127,493466.0706,5180730.206,Staley,Ap,0,26,26,1.27,4.74,1,1,-0.162468,0.29015,0.58148,0.682242,0.708301,0.67229,0.596021,0.557313,0.564362,0.568342,0.560528,0.54396,0.495674,0.438326,0.621157,0.603502,0.573079,0.541521,0.509295,0.44461,0.581628,0.581628,0.513932,0.480345,0.447246,0.383151,0.322448
389,CAF129,493528.6847,5180727.158,Thatuna,Ap,0,23,23,1.34,4.8,1,1,-7.028086,-8.132777,-8.489209,-8.532115,-8.50152,-8.388601,-8.268084,-7.278904,-7.602528,-7.857319,-7.965009,-8.008561,-8.012933,-7.97249,-7.700976,-7.763734,-7.821389,-7.845021,-7.849329,-7.827392,-7.776781,-7.776781,-7.810022,-7.804822,-7.792113,-7.753883,-7.707153
395,CAF131,493592.5074,5180731.757,Thatuna,Ap,0,16,16,1.38,4.44,1,1,-0.918325,-2.962835,-4.605461,-5.503093,-6.085916,-6.814569,-7.263326,-4.613545,-5.001671,-5.509164,-5.900014,-6.213111,-6.689245,-7.039641,-6.066181,-6.240782,-6.491564,-6.703569,-6.886064,-7.186488,-6.561276,-6.561276,-6.936461,-7.088961,-7.224297,-7.455301,-7.646838
401,CAF133,493656.3232,5180729.911,Thatuna,Ap,0,28,28,1.37,4.62,1,1,6.754915,7.979737,8.951573,9.427063,9.685505,9.912309,9.971032,8.546499,8.777056,9.037901,9.207955,9.32271,9.454139,9.51116,9.251345,9.317278,9.397674,9.451787,9.487447,9.522082,9.422069,9.422069,9.501938,9.520971,9.530817,9.531327,9.515162
407,CAF135,493720.1532,5180741.623,Palouse,Ap,0,18,18,1.16,4.27,1,1,0.314344,0.959619,1.419648,1.641195,1.771755,1.921538,2.009593,-0.291047,0.037049,0.438654,0.726192,0.942274,1.245848,1.449893,0.220745,0.388716,0.619608,0.805012,0.957298,1.193142,0.535237,0.535237,0.879472,1.01044,1.122248,1.303492,1.444663
413,CAF137,493782.1431,5180736.366,Naff,Ap,0,15,15,1.44,4.31,1,1,-0.407835,0.190492,0.762899,1.133218,1.401355,1.775051,2.032237,-0.030967,0.230868,0.570237,0.836087,1.054063,1.396228,1.657249,0.501751,0.651886,0.869866,1.056534,1.219045,1.490159,0.847917,0.847917,1.194833,1.337902,1.465712,1.685387,1.868561
419,CAF139,493847.7654,5180719.155,Naff,Ap,0,21,21,1.51,4.61,1,1,-1.997902,-2.693684,-3.500891,-4.003286,-4.350168,-4.812157,-5.119427,-3.6038,-3.812969,-4.104787,-4.342423,-4.540781,-4.856827,-5.101878,-4.436988,-4.549034,-4.715001,-4.859508,-4.987098,-5.204168,-4.761521,-4.761521,-5.021726,-5.131743,-5.231428,-5.406403,-5.556555
424,CAF141,493911.6096,5180745.093,Naff,Ap,0,9,9,1.4,4.32,1,1,-3.194177,-2.509191,-1.830128,-1.400713,-1.098694,-0.700322,-0.451999,-2.372885,-2.17345,-1.899793,-1.678528,-1.495408,-1.210228,-0.999697,-1.663057,-1.554303,-1.396601,-1.262514,-1.147217,-0.959859,-1.355895,-1.355895,-1.116058,-1.019658,-0.935342,-0.795634,-0.685694
430,CAF143,493976.78,5180731.339,Naff,Ap,0,21,21,1.35,4.47,1,1,1.949453,2.501384,2.934144,3.142781,3.263262,3.39749,3.474021,2.554084,2.699597,2.889066,3.030207,3.138202,3.291128,3.393646,2.773365,2.85444,2.967781,3.060021,3.136356,3.255106,2.900673,2.900673,3.076071,3.143409,3.201024,3.294454,3.367049
437,CAF145,494039.2338,5180734.075,Naff,Ap,0,14,14,1.39,4.23,1,1,4.658584,5.192802,5.643585,5.887257,6.042742,6.236554,6.359848,4.668028,4.853043,5.112997,5.320401,5.488442,5.744261,5.93125,5.132083,5.240907,5.39901,5.533263,5.64866,5.837278,5.398007,5.398007,5.642811,5.741905,5.829315,5.976951,6.097516
443,CAF147,494103.0625,5180745.235,Naff,Ap,0,10,10,1.43,4.38,1,1,-0.21195,0.010432,0.28666,0.413915,0.466965,0.473234,0.423377,0.218166,0.249234,0.282727,0.297496,0.298485,0.273469,0.227371,0.310316,0.308579,0.298461,0.281604,0.2599,0.207005,0.294371,0.294371,0.253442,0.227528,0.199354,0.138712,0.075071
449,CAF149,493350.8639,5180767.357,Palouse,Ap,0,16,16,1.17,4.02,1,1,0.900604,-0.170043,-0.787876,-0.977974,-1.024914,-0.980199,-0.889546,0.093644,-0.08059,-0.272882,-0.38987,-0.46197,-0.532208,-0.55303,-0.347665,-0.390564,-0.440711,-0.472258,-0.4914,-0.507217,-0.447638,-0.447638,-0.490868,-0.499631,-0.503351,-0.501631,-0.49362
455,CAF151,493417.8866,5180770.999,Palouse,Ap,0,15,15,1.34,4.47,1,1,-9.400074,-9.60965,-9.554218,-9.408201,-9.24445,-8.926773,-8.64558,-8.820878,-8.785808,-8.690475,-8.583359,-8.476731,-8.277162,-8.099176,-8.463664,-8.403737,-8.305716,-8.212031,-8.12339,-7.961057,-8.261964,-8.261964,-8.083799,-8.002122,-7.925154,-7.784089,-7.658084
460,CAF153,493478.5079,5180775.884,Palouse,Ap,0,18,18,1.27,,1,1,3.359567,3.477116,3.373161,3.30565,3.276356,3.279524,3.320737,3.364897,3.381382,3.401951,3.421511,3.442326,3.48815,3.537514,3.45805,3.469102,3.489192,3.510937,3.533859,3.581729,3.496895,3.496895,3.541963,3.565737,3.589916,3.63864,3.686914
465,CAF155,493542.3175,5180768.814,Thatuna,Ap,0,20,20,1.48,4.59,1,1,-6.186379,-5.344957,-4.576822,-4.101226,-3.762242,-3.296151,-2.981432,-4.416858,-4.243989,-3.996163,-3.787875,-3.609468,-3.317547,-3.086591,-3.693842,-3.59359,-3.443309,-3.310411,-3.191719,-2.987892,-3.401544,-3.401544,-3.158371,-3.054693,-2.960483,-2.795246,-2.654522
470,CAF157,493606.1367,5180770.524,Thatuna,Ap1,0,13,13,1.33,4.72,1,1,-4.792093,-4.773286,-4.49417,-4.265766,-4.084036,-3.806187,-3.595532,-4.279846,-4.214607,-4.097453,-3.983365,-3.876825,-3.68766,-3.525891,-3.952744,-3.890557,-3.792991,-3.702702,-3.619037,-3.468789,-3.76636,-3.76636,-3.596275,-3.520138,-3.449069,-3.319962,-3.205319
476,CAF159,493669.9528,5180769.345,Palouse,Ap,0,17,17,1.36,4.49,1,1,1.516965,1.00561,0.83428,0.831945,0.862219,0.930426,0.985933,1.174748,1.10712,1.040151,1.006686,0.991524,0.988071,1.000056,0.993032,0.984845,0.979026,0.979528,0.983854,0.998525,0.977517,0.977517,0.98456,0.99172,1.00006,1.018396,1.03726
481,CAF161,493733.7514,5180751.388,Thatuna,Ap,0,23,23,1.3,4.62,1,1,3.585376,3.073497,2.522808,2.193445,1.968965,1.677982,1.497636,2.928942,2.766084,2.538837,2.356396,2.207749,1.98158,1.818973,2.346247,2.258501,2.132308,2.026286,1.936182,1.791928,2.101463,2.101463,1.914113,1.839933,1.775589,1.670006,1.587674
487,CAF163,493797.585,5180766.989,Palouse,Ap,0,15,15,1.3,4.47,1,1,2.508167,3.372669,3.800544,3.926597,3.961507,3.942667,3.888919,2.719216,2.910647,3.124201,3.256462,3.340784,3.430353,3.465344,3.221336,3.272263,3.333981,3.375202,3.402403,3.430148,3.344959,3.344959,3.40578,3.42103,3.429894,3.434869,3.4294
492,CAF165,493861.4158,5180780.147,Palouse,Ap,0,25,25,1.43,4.94,1,1,-3.768598,-3.020216,-2.669026,-2.586343,-2.572745,-2.596201,-2.62908,-3.223709,-3.120189,-3.004395,-2.931969,-2.884767,-2.830964,-2.804224,-2.935659,-2.907559,-2.872614,-2.847986,-2.830256,-2.807559,-2.864546,-2.864546,-2.826145,-2.814231,-2.805299,-2.79326,-2.785892
497,CAF167,493925.2257,5180772.86,Palouse,Ap,0,17,17,1.42,5.05,1,1,-0.749495,-0.325502,-0.134663,-0.07552,-0.056101,-0.059446,-0.083663,0.093056,0.129535,0.13011,0.109094,0.082459,0.026985,-0.025792,0.070687,0.064824,0.046861,0.02446,0.000531,-0.047628,0.0272,0.0272,-0.013933,-0.036566,-0.059283,-0.103643,-0.145741
503,CAF169,493989.0354,5180765.35,Naff,Ap,0,20,20,1.37,4.65,1,1,-3.702029,-4.644001,-5.091558,-5.22427,-5.264886,-5.262322,-5.232293,-4.83062,-4.924722,-5.016045,-5.067032,-5.097149,-5.126363,-5.136754,-5.079556,-5.096285,-5.114955,-5.126308,-5.133195,-5.139643,-5.120038,-5.120038,-5.135644,-5.139072,-5.140985,-5.142398,-5.142528
508,CAF171,494052.8464,5180758.841,Naff,Ap,0,18,18,1.35,4.15,1,1,4.945417,4.526457,4.132143,3.878723,3.695309,3.4391,3.26284,4.828346,4.629656,4.382817,4.19498,4.043065,3.806553,3.626956,4.24035,4.144394,4.00679,3.88995,3.788639,3.619993,3.977046,3.977046,3.765997,3.679356,3.602015,3.469115,3.358323
513,CAF173,494116.657,5180751.889,Thatuna,Ap,0,19,19,1.63,4.34,1,1,6.294505,6.077942,5.885569,5.742803,5.629133,5.457898,5.334034,6.268874,6.148137,5.998472,5.8831,5.788192,5.637169,5.519907,5.870808,5.815548,5.734249,5.663442,5.600836,5.494381,5.70782,5.70782,5.580836,5.527123,5.478493,5.393557,5.321526
518,CAF175,493367.9983,5180799.119,Latah,Ap,0,20,20,1.38,4.28,1,1,-5.429819,-5.289146,-5.022649,-4.799686,-4.612107,-4.309394,-4.071833,-5.405367,-5.292948,-5.115857,-4.95487,-4.809099,-4.556202,-4.344492,-4.949355,-4.864044,-4.731516,-4.610149,-4.498752,-4.301482,-4.69654,-4.69654,-4.470029,-4.369955,-4.277404,-4.111719,-3.967663
525,CAF177,493431.822,5180805.16,Palouse,Ap,0,19,19,1.43,4.51,1,1,-6.29897,-5.112207,-4.686847,-4.592606,-4.577131,-4.606909,-4.651753,-5.673825,-5.44262,-5.209238,-5.074486,-4.991435,-4.903313,-4.865038,-5.097203,-5.042722,-4.978308,-4.935512,-4.906553,-4.873426,-4.975134,-4.975134,-4.907091,-4.888288,-4.875488,-4.861402,-4.856409
530,CAF179,493495.6416,5180807.646,Thatuna,Ap,0,20,20,1.41,,1,1,-9.310517,-9.305061,-9.243195,-9.173552,-9.112706,-9.018302,-8.950025,-9.310116,-9.226591,-9.142403,-9.086953,-9.045049,-8.982173,-8.934816,-9.098995,-9.070292,-9.03104,-8.998885,-8.971523,-8.926424,-9.023021,-9.023021,-8.965678,-8.942502,-8.921843,-8.886188,-8.856106
536,CAF181,493559.451,5180800.577,Thatuna,Ap,0,15,15,1.43,4.96,1,1,-4.53185,-4.535541,-4.762181,-4.899837,-4.987397,-5.091658,-5.14984,-5.716293,-5.615398,-5.525271,-5.478146,-5.450106,-5.418291,-5.399372,-5.539629,-5.518421,-5.491948,-5.472387,-5.457017,-5.433422,-5.48798,-5.48798,-5.455521,-5.443393,-5.432841,-5.414784,-5.399271
542,CAF183,493623.2698,5180802.287,Palouse,Ap,0,19,19,1.27,4.78,1,1,3.468736,3.204271,2.900412,2.692901,2.545169,2.356052,2.247167,3.326533,3.160917,2.954722,2.80448,2.690404,2.530277,2.425623,2.83895,2.766224,2.666907,2.588082,2.524399,2.429057,2.646245,2.646245,2.510977,2.461258,2.420001,2.356369,2.310666
547,CAF185,493687.0856,5180801.108,Thatuna,Ap,0,18,18,1.28,4.5,1,1,-5.184802,-7.357794,-8.459044,-8.908663,-9.159786,-9.439677,-9.595847,-6.799911,-7.227659,-7.754281,-8.124676,-8.39737,-8.770399,-9.012653,-8.198837,-8.341774,-8.54251,-8.70538,-8.839276,-9.045118,-8.61634,-8.61634,-8.885866,-8.989214,-9.077198,-9.218412,-9.326224
552,CAF187,493750.8839,5180783.151,Thatuna,Ap1,0,10,10,1.49,4.58,1,1,6.222781,4.947968,4.144065,3.672797,3.332509,2.851598,2.516811,4.378937,3.978122,3.541592,3.240288,3.009534,2.664994,2.410632,3.149646,3.009806,2.815884,2.65562,2.518934,2.294458,2.760683,2.760683,2.477422,2.363036,2.261479,2.087698,1.943151
559,CAF189,493814.7171,5180798.753,Palouse,Ap,0,13,13,1.5,4.33,1,1,-1.194805,-1.780568,-1.850747,-1.860821,-1.876059,-1.913935,-1.948026,-1.145754,-1.382543,-1.599045,-1.717486,-1.790858,-1.875352,-1.921439,-1.726922,-1.776317,-1.835079,-1.875569,-1.904818,-1.943444,-1.849315,-1.849315,-1.913905,-1.93425,-1.949866,-1.971707,-1.985566
565,CAF193,493942.3571,5180804.623,Palouse,Ap,0,19,19,1.36,4.55,1,1,4.701054,5.056478,5.135685,5.137324,5.132843,5.131201,5.138723,4.917623,4.98458,5.059936,5.106327,5.136577,5.173177,5.195436,5.120853,5.137715,5.159655,5.176232,5.189301,5.209182,5.166002,5.166002,5.193107,5.20321,5.211931,5.226685,5.239203
570,CAF195,494006.1666,5180797.114,Palouse,Ap,0,17,17,1.39,4.31,1,1,3.719656,4.542668,4.64515,4.537864,4.398558,4.131818,3.907237,3.119941,3.415158,3.623448,3.690049,3.697676,3.642957,3.556849,3.492923,3.531418,3.552371,3.543819,3.519922,3.451416,3.51637,3.51637,3.49113,3.461491,3.427133,3.352721,3.277533
576,CAF197,494069.9772,5180790.605,Palouse,Ap,0,23,23,1.5,4.83,1,1,-3.98278,-2.285615,-1.534269,-1.273456,-1.154653,-1.066611,-1.052238,-3.77911,-3.151476,-2.558115,-2.219844,-2.004354,-1.75314,-1.619113,-2.515218,-2.324204,-2.098524,-1.944047,-1.83329,-1.689186,-2.122227,-2.122227,-1.850151,-1.766297,-1.702805,-1.615747,-1.56201
581,CAF199,494133.7875,5180783.653,Thatuna,Ap1,0,13,13,1.43,4.52,1,1,0.3312,1.670955,2.215076,2.404546,2.503166,2.612486,2.679443,0.948884,1.379313,1.820527,2.089212,2.269202,2.494432,2.629856,1.985161,2.114298,2.277906,2.398702,2.491506,2.62489,2.294263,2.294263,2.499694,2.571154,2.62953,2.719444,2.785841
587,CAF201,493416.666,5180836.958,Thatuna,Ap,0,23,23,1.44,4.59,1,1,-6.896099,-6.83738,-6.185957,-5.606191,-5.136487,-4.433092,-3.930046,-5.089413,-4.99614,-4.798645,-4.59255,-4.395096,-4.041896,-3.743521,-4.429734,-4.323412,-4.152967,-3.993487,-3.845594,-3.582466,-4.096293,-4.096293,-3.79804,-3.665182,-3.542247,-3.322701,-3.132903
592,CAF203,493480.4853,5180839.444,Thatuna,Ap1,0,17,17,1.38,4.73,1,1,0.837641,1.746961,2.259164,2.415371,2.461411,2.446671,2.38925,1.280576,1.434028,1.620658,1.742913,1.823323,1.910314,1.943271,1.658267,1.71286,1.779978,1.825394,1.85558,1.886157,1.784867,1.784867,1.854316,1.871875,1.881989,1.886948,1.878942
598,CAF205,493544.2943,5180832.374,Palouse,Ap1,0,18,18,1.52,4.88,1,1,3.605355,2.249718,1.330078,0.894875,0.643727,0.373666,0.23921,3.17952,2.823013,2.38716,2.070119,1.827662,1.480854,1.245497,2.376676,2.217183,1.994879,1.813688,1.663194,1.427969,2.003294,2.003294,1.680028,1.555394,1.44856,1.275281,1.141227
604,CAF207,493606.5134,5180835.683,Palouse,Ap,0,12,12,1.33,4.22,1,1,2.147771,2.206176,2.545016,2.876619,3.165796,3.630662,3.984747,2.033796,2.186075,2.432551,2.661215,2.869864,3.23168,3.531922,2.436306,2.571306,2.778842,2.966765,3.137484,3.435578,2.785645,2.785645,3.140327,3.294364,3.435409,3.684533,3.897627
610,CAF209,493671.9282,5180832.905,Naff,Ap,0,20,20,1.45,4.87,1,1,2.946751,2.179459,1.452468,1.020114,0.729336,0.359432,0.131249,2.070908,1.868892,1.587737,1.35938,1.169981,0.873006,0.649582,1.468377,1.351875,1.18165,1.035445,0.908244,0.697061,1.162347,1.162347,0.896677,0.787502,0.690354,0.524552,0.387763
