,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
185,CAF065,493959.9746,5180636.922,Thatuna,BE,57,94,37,1.6,6.2,4
191,CAF067,494023.7952,5180638.747,Thatuna,BE1,59,83,24,1.6,6.18,4
198,CAF069,493296.5399,5180655.406,Thatuna,BE,48,76,28,1.57,5.41,4
205,CAF071,493360.3768,5180672.003,Staley,Bw2,73,94,21,1.43,7.61,4
211,CAF073,493421.8027,5180680.044,Staley,Bw1,52,85,33,1.36,,4
218,CAF075,493488.0228,5180680.531,Thatuna,A3,54,72,18,1.32,6.44,4
225,CAF077,493551.8335,5180673.461,Palouse,AE,62,96,34,1.41,6.65,4
231,CAF079,493615.6537,5180675.171,Thatuna,AB,52,74,22,1.48,6.19,4
238,CAF081,493679.4708,5180673.992,Thatuna,Btb1,71,99,28,1.61,6.49,4
244,CAF083,493743.2704,5180656.035,Palouse,Bw1,60,90.5,30.5,1.65,6.24,4
250,CAF085,493807.105,5180671.637,Palouse,Bw1,62,90,28,1.59,6.48,4
256,CAF087,493870.9368,5180684.795,Naff,Btb1,74,102,28,1.7,6.53,4
262,CAF089,493935.2029,5180676.141,Palouse,Bw1,48,70,22,1.45,6.48,4
268,CAF091,493998.5585,5180669.998,Naff,AB,55,86,31,,6.72,4
274,CAF093,494062.3704,5180663.489,Thatuna,AE,54,84,30,1.58,6.12,4
280,CAF095,493276.7264,5180689.078,Latah,EB,65,80,15,1.5,6.42,4
288,CAF097,493339.9564,5180706.363,Thatuna,EB,52,75,23,1.56,5.8,4
295,CAF099,493403.7819,5180713.182,Staley,Bw1,53,78,25,1.39,6.4,4
303,CAF101,493467.5846,5180699.222,Palouse,Bw2,71,103,32,1.53,6.57,4
309,CAF103,493531.3986,5180695.374,Thatuna,BE1,59,74,15,1.36,6.62,4
316,CAF105,493595.2216,5180699.973,Thatuna,BE,59,75,16,1.65,6.01,4
323,CAF107,493659.0377,5180698.127,Thatuna,E,65,75,10,1.69,6.27,4
330,CAF109,493725.5766,5180706.699,Thatuna,Btb1,100,119,19,1.66,6.69,4
336,CAF111,493786.6792,5180703.217,Naff,Bw2,60,80,20,1.74,6.5,4
343,CAF113,493851.8467,5180685.551,Naff,Btb1,66,88,22,1.72,6.31,4
349,CAF115,493915.6912,5180711.488,Naff,BE,60,87,27,1.65,6.41,4
355,CAF117,493978.1305,5180700.466,Naff,EB,61.5,86,24.5,1.52,6.56,4
361,CAF119,494044.2265,5180700.47,Naff,BE,63,84,21,1.55,6.47,4
368,CAF121,494105.7794,5180713.451,Naff,BE,63,82,19,1.81,,4
375,CAF123,493337.2435,5180738.147,Latah,AB,72,97,25,1.2,5.3,4
381,CAF125,493401.0687,5180744.966,Thatuna,EB2,64,85,21,1.58,6.07,4
387,CAF127,493466.0706,5180730.206,Staley,BC,94,107,13,1.49,6.64,4
392,CAF129,493528.6847,5180727.158,Thatuna,EB,53,72,19,1.51,6.41,4
398,CAF131,493592.5074,5180731.757,Thatuna,AB,57,75,18,1.37,6.16,4
404,CAF133,493656.3232,5180729.911,Thatuna,BE,79,95,16,1.48,5.83,4
410,CAF135,493720.1532,5180741.623,Palouse,Bw1,64,86,22,1.58,6.19,4
416,CAF137,493782.1431,5180736.366,Naff,AB,45,76,31,1.39,6.33,4
422,CAF139,493847.7654,5180719.155,Naff,Btb1,74.5,125,50.5,1.58,6.6,4
427,CAF141,493911.6096,5180745.093,Naff,EB,38,54,16,1.64,6.04,4
433,CAF143,493976.78,5180731.339,Naff,EB,61,70,9,1.73,6.09,4
440,CAF145,494039.2338,5180734.075,Naff,EB,50,68,18,1.74,6.17,4
446,CAF147,494103.0625,5180745.235,Naff,Btb1,48,85,37,1.67,5.6,4
452,CAF149,493350.8639,5180767.357,Palouse,Bw2,70,90,20,1.16,5.74,4
458,CAF151,493417.8866,5180770.999,Palouse,Bw2,78,109,31,1.65,6.31,4
463,CAF153,493478.5079,5180775.884,Palouse,Bw,66,120,54,1.29,,4
468,CAF155,493542.3175,5180768.814,Thatuna,Btb1,71,98,27,1.59,6.87,4
473,CAF157,493606.1367,5180770.524,Thatuna,Btb1,43,89,46,1.41,7.05,4
479,CAF159,493669.9528,5180769.345,Palouse,Bw2,92,127,35,1.56,7.08,4
484,CAF161,493733.7514,5180751.388,Thatuna,BE,103,122,19,1.16,6.52,4
490,CAF163,493797.585,5180766.989,Palouse,Bw,72,122,50,1.59,6.42,4
495,CAF165,493861.4158,5180780.147,Palouse,Bw2,96,138,42,1.69,6.67,4
500,CAF167,493925.2257,5180772.86,Palouse,Bw1,52,81,29,1.67,6.58,4
506,CAF169,493989.0354,5180765.35,Naff,BE,78,107,29,1.69,6.28,4
511,CAF171,494052.8464,5180758.841,Naff,Btb1,82,106,24,1.66,6.14,4
516,CAF173,494116.657,5180751.889,Thatuna,Btb1,72,103,31,1.7,5.45,4
521,CAF175,493367.9983,5180799.119,Latah,AE,57,69,12,1.2,6.1,4
528,CAF177,493431.822,5180805.16,Palouse,Bw,72,123,51,1.66,6.63,4
533,CAF179,493495.6416,5180807.646,Thatuna,EB,68,98,30,1.51,,4
539,CAF181,493559.451,5180800.577,Thatuna,AE,55,84,29,1.4,6.19,4
545,CAF183,493623.2698,5180802.287,Palouse,Bwb,89,122,33,1.53,6.53,4
550,CAF185,493687.0856,5180801.108,Thatuna,Btb1,79,112,33,1.44,6.23,4
555,CAF187,493750.8839,5180783.151,Thatuna,Btb1,41,69,28,1.6,6.06,4
562,CAF189,493814.7171,5180798.753,Palouse,Bw1,62,94,32,1.23,5.86,4
568,CAF193,493942.3571,5180804.623,Palouse,Bw2,82,122,40,1.46,6.92,4
573,CAF195,494006.1666,5180797.114,Palouse,Bw2,70,92,22,1.39,6.52,4
579,CAF197,494069.9772,5180790.605,Palouse,Bwb1,86,120,34,1.45,7.39,4
584,CAF199,494133.7875,5180783.653,Thatuna,Bw,52,85,33,1.57,5.92,4
590,CAF201,493416.666,5180836.958,Thatuna,Bwb,95,120,25,1.63,6.98,4
595,CAF203,493480.4853,5180839.444,Thatuna,BE,57,79,22,1.68,6.4,4
601,CAF205,493544.2943,5180832.374,Palouse,Bwb,58,84,26,1.4,6.34,4
607,CAF207,493606.5134,5180835.683,Palouse,Bw1,70,93,23,1.19,6.08,4
613,CAF209,493671.9282,5180832.905,Naff,BE,82,109,27,1.69,6.59,4
619,CAF211,493735.7261,5180814.947,Thatuna,Btb2,93,126,33,1.49,6.43,4
624,CAF213,493799.5591,5180830.549,Thatuna,Ab,95,117,22,1.68,6.11,4
630,CAF215,493859.7475,5180844.162,Palouse,Bw,59,88,29,1.38,5.78,4
636,CAF217,493927.1984,5180836.419,Palouse,Bwb1,83,119,36,1.45,6.76,4
641,CAF219,493991.0075,5180828.91,Palouse,Bwb1,83,116,33,1.34,6.39,4
646,CAF221,494054.8177,5180822.401,Palouse,Bwb1,89,118,29,1.6,6.68,4
651,CAF223,494118.6277,5180815.449,Palouse,Bwb1,66,91,25,1.71,6.67,4
657,CAF225,493412.6587,5180872.077,Palouse,Bwb,61,101,40,1.52,6.7,4
662,CAF227,493478.459,5180856.118,Palouse,Bwb1,69,121,52,1.56,6.79,4
667,CAF229,493540.2721,5180854.27,Naff,EB,82,101,19,1.67,,4
672,CAF231,493604.0934,5180858.868,Palouse,BE,48,87,39,1.67,6.69,4
678,CAF233,493667.9079,5180857.023,Staley,Bw2,67,118,51,1.28,7.77,4
683,CAF235,493731.7365,5180868.735,Palouse,Bw2,72,115,43,1.46,6.68,4
688,CAF237,493798.2411,5180860.384,Palouse,Btb1,80,125,45,1.62,6.21,4
693,CAF239,493858.4356,5180848.088,Palouse,Bw1,69,103,34,1.31,5.91,4
699,CAF241,493923.1888,5180872.205,Palouse,Bwb1,97,126,29,1.55,6.84,4
704,CAF243,493986.9922,5180859.362,Palouse,BE,85,102,17,1.43,6.51,4
710,CAF245,494050.8104,5180861.187,Palouse,Bw2,65,84,19,1.51,6.24,4
716,CAF247,494114.6377,5180872.347,Palouse,Bw2,83,105,22,1.54,6.61,4
721,CAF249,493445.5787,5180889.931,Thatuna,Ab,76,99,23,1.38,5.81,4
728,CAF251,493509.3906,5180886.084,Staley,Bwkb1,69,111,42,1.35,7.81,4
734,CAF253,493573.2116,5180890.682,Staley,Bwk,79,124,45,1.5,9,4
739,CAF255,493637.0257,5180888.836,Palouse,Bw1,66,99,33,1.64,6.35,4
745,CAF257,493700.8541,5180900.548,Palouse,Bwb,95,130,35,1.45,6.9,4
750,CAF259,493764.6632,5180893.925,Palouse,Bw2,79,122,43,1.7,6.64,4
755,CAF261,493828.4629,5180878.08,Staley,Bwb,91,119,28,1.6,6.64,4
760,CAF263,493892.3055,5180904.017,Palouse,Bwb1,89,125,36,1.59,6.59,4
765,CAF265,493957.4741,5180890.263,Palouse,Bw2,89,128,39,1.4,6.59,4
770,CAF267,494019.9263,5180892.999,Palouse,Bw,71,104,33,1.62,6.57,4
775,CAF269,494083.7533,5180904.159,Thatuna,BA,55,90,35,1.36,5.92,4
781,CAF271,494147.5581,5180892.762,Palouse,Bw1,59,93,34,1.61,6.53,4
787,CAF273,493498.4511,5180934.767,Thatuna,Btb1,69,124,55,1.64,6.16,4
792,CAF275,493560.6597,5180928.897,Palouse,Bw3,74,111,37,1.44,6.33,4
797,CAF277,493626.0766,5180929.408,Staley,Bwk,89,128,39,1.43,8.62,4
802,CAF279,493690.9522,5180926.713,Palouse,Bw2,65,116,51,1.58,6.39,4
807,CAF281,493754.8875,5180909.472,Staley,Bkb1,76,110,34,1.34,7.8,4
812,CAF283,493817.5199,5180925.874,Palouse,Bwb1,105,127,22,1.65,7.01,4
817,CAF285,493881.3489,5180939.032,Palouse,Bw3,80,115,35,1.53,6.66,4
822,CAF287,493945.1571,5180931.744,Palouse,Bw,60,99,39,1.5,6.77,4
827,CAF289,494008.9652,5180924.235,Palouse,Bw2,80,112,32,1.45,6.88,4
833,CAF291,494072.7745,5180917.726,Palouse,Bw2,49,85,36,1.65,6.39,4
839,CAF293,494136.5834,5180910.774,Palouse,Bw2,79,117,38,1.7,6.49,4
844,CAF298,493502.6076,5180966.544,Palouse,Bwb1,84,128,44,1.67,6.36,4
849,CAF300,493566.4152,5180959.474,Thatuna,EB,70,108,38,1.59,6.51,4
854,CAF302,493631.4319,5180959.585,Palouse,Bw1,71,104,33,1.56,6.57,4
860,CAF304,493694.0464,5180960.006,Palouse,Bwb1,96,123,27,1.53,6.65,4
865,CAF306,493757.8431,5180942.048,Palouse,Bw2,78,120,42,1.56,6.74,4
870,CAF308,493821.6746,5180957.65,Palouse,Bwb1,101,127,26,1.47,6.98,4
875,CAF310,493885.5034,5180970.809,Thatuna,Bw,83,114,31,1.46,6.75,4
880,CAF312,493946.5799,5180965.797,Palouse,Bw2,64,110,46,1.46,6.38,4
885,CAF314,494013.119,5180956.012,Thatuna,Btb1,76,113,37,1.61,5.64,4
890,CAF316,494076.9279,5180949.503,Thatuna,E,89,105,16,1.77,6.46,4
896,CAF324,493530.6382,5180981.404,Palouse,Bw2,59,103,44,1.67,6.12,4
901,CAF326,493594.4582,5180986.002,Palouse,Bw1,60,97,37,1.48,6.13,4
907,CAF328,493658.2713,5180984.157,Palouse,Bw2,84,127,43,1.5,6.81,4
912,CAF330,493722.0986,5180995.869,Palouse,Bw,57,92,35,1.46,6.47,4
918,CAF332,493785.9066,5180989.246,Palouse,Bw2,53,107,54,1.41,6.51,4
924,CAF334,493849.7054,5180973.401,Palouse,Bw2,72,97,25,1.52,6.5,4
930,CAF336,493913.5469,5180999.338,Palouse,Bw2,90,120,30,1.63,6.45,4
935,CAF338,493977.9553,5180985.889,Thatuna,AB,60,88,28,1.51,6.05,4
941,CAF349,493572.819,5181023.029,Palouse,AB,68,89,21,1.5,6.27,4
947,CAF351,493636.6355,5181024.739,Staley,Bw2,78,112,34,1.62,6.48,4
952,CAF353,493700.4489,5181023.561,Palouse,Bw2,80,120,40,1.58,6.45,4
957,CAF355,493764.2449,5181005.603,Palouse,Bw,62,107,45,1.48,6.3,4
962,CAF357,493828.0757,5181021.206,Palouse,Bw2,61,74,13,1.33,6.42,4
968,CAF359,493891.9038,5181034.364,Palouse,Bwb1,85,119,34,1.63,6.37,4
973,CAF371,493570.4942,5181049.809,Latah,Btb1,77,89,12,1.37,6.13,4
979,CAF373,493635.3715,5181056.522,Thatuna,E,68,96,28,1.64,6.25,4
985,CAF375,493700.3841,5181054.144,Palouse,Bw2,59,106,47,1.48,6.44,4
991,CAF377,493767.3783,5181033.528,Palouse,Bw1,76,107,31,1.55,6.48,4
997,CAF379,493826.8108,5181052.988,Palouse,Bw2,84,120,36,1.44,6.43,4
1002,CAF381,493890.6385,5181066.146,Thatuna,Bw,59,74,15,1.63,6.11,4
1009,CAF395,493626.398,5181088.312,Caldwell,AB2,53,87,34,1.57,5.97,4
1015,CAF397,493690.2107,5181087.133,Palouse,Bw1,46,67,21,1.55,,4
1022,CAF399,493754.006,5181069.176,Thatuna,EB,74,103,29,1.56,6.31,4
1027,CAF401,493817.8362,5181084.778,Thatuna,EB,57,97,40,1.64,6.13,4
1033,CAF419,493648.3558,5181104.302,Thatuna,AE,43,66,23,1.37,5.51,4
1041,CAF421,493712.7748,5181114.814,Latah,E,73,98,25,1.68,,4
1047,CAF423,493780.1935,5181114.779,Latah,AB,60,106,46,1.51,5.74,4
1054,CAF425,493841.5918,5181100.533,Caldwell,Bwg,87,109,22,1.74,6.28,4
