,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
4,CAF003,493383.1071,5180586.081,Naff,Btb1,65,98,33,1.72,6.54,4
9,CAF005,493446.9111,5180572.12,Palouse,Bw1,66,97,31,1.37,6.59,4
14,CAF007,493510.7264,5180568.273,Palouse,Ab,84,100,16,1.46,6.54,4
19,CAF009,493574.5508,5180572.871,Palouse,Bw2,73,103,30,1.52,6.63,4
24,CAF011,493638.3683,5180571.025,Palouse,Bw1,62,93,31,1.59,6.48,4
29,CAF013,493702.2,5180582.737,Naff,Btb1,77,105,28,1.68,6.41,4
34,CAF015,493797.9223,5180576.303,Latah,E,64,79,15,1.63,6.44,4
40,CAF017,493893.6615,5180586.206,Palouse,AB,65,90,25,1.13,6.17,4
45,CAF019,493246.5977,5180590.191,Latah,EB,64,82,18,1.7,6.29,4
52,CAF021,493309.2174,5180591.83,Staley,Bw,49,69,20,1.34,6.44,4
58,CAF023,493371.4556,5180609.627,Palouse,Bw1,59,79,20,1.59,,4
64,CAF025,493436.8807,5180614.469,Naff,EB1,58,77,19,1.56,6.18,4
70,CAF027,493502.3017,5180616.156,Palouse,Bw2,62,96,34,1.35,6.69,4
76,CAF029,493564.5137,5180609.886,Staley,Bw2,68,92,24,1.38,7.35,4
82,CAF031,493628.3346,5180611.596,Palouse,Bw1,57,88,31,1.57,6.53,4
88,CAF033,493692.1524,5180610.417,Staley,Bk2,59,96,37,1.48,7.6,4
94,CAF035,493755.9527,5180592.46,Naff,AB,45,70,25,1.52,6.35,4
101,CAF037,493819.788,5180608.062,Latah,Bw,42,69,27,1.5,7.59,4
108,CAF039,493883.6204,5180621.22,Latah,Btk2,54,78,24,1.56,7.43,4
114,CAF041,493947.432,5180613.932,Palouse,Bw,66,105,39,1.6,6.6,4
119,CAF043,493257.9566,5180626.446,Latah,BE,68,89,21,1.49,5.66,4
125,CAF045,493323.2034,5180641.411,Palouse,Bw1,69,105,36,1.39,7.86,4
131,CAF047,493385.6199,5180649.64,Palouse,Bw2,90,124,34,1.33,,4
136,CAF049,493449.4233,5180635.68,Palouse,BE,71,88,17,1.46,6.52,4
143,CAF051,493514.0376,5180631.032,Palouse,Bw1,71,93,22,1.35,6.43,4
149,CAF053,493577.0617,5180636.431,Palouse,EB,70,84,14,1.54,6.62,4
155,CAF055,493640.8785,5180634.585,Palouse,Bw2,83,122,39,1.35,6.83,4
160,CAF057,493704.7095,5180646.296,Staley,Bw2,83,114,31,1.29,7.16,4
165,CAF059,493770.7974,5180636.942,Palouse,Bw1,66,107,41,1.66,6.36,4
171,CAF061,493832.3237,5180623.828,Naff,EB1,51.5,67,15.5,1.39,6.14,4
179,CAF063,493896.169,5180649.766,Naff,BE1,67,85,18,1.13,6.67,4
