,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
159,CAF057,493704.7095,5180646.296,Staley,Bw1,49,83,34,1.38,6.65,3
164,CAF059,493770.7974,5180636.942,Palouse,AB,38,66,28,1.27,6.05,3
170,CAF061,493832.3237,5180623.828,Naff,AE,32,51.5,19.5,1.31,6.06,3
178,CAF063,493896.169,5180649.766,Naff,AB,41,67,26,1.16,6.35,3
184,CAF065,493959.9746,5180636.922,Thatuna,AB,33,57,24,1.14,6.12,3
190,CAF067,494023.7952,5180638.747,Thatuna,A2,32,59,27,1.3,5.71,3
197,CAF069,493296.5399,5180655.406,Thatuna,A2,30,48,18,1.41,5.34,3
204,CAF071,493360.3768,5180672.003,Staley,Bw1,24,73,49,1.47,6.5,3
210,CAF073,493421.8027,5180680.044,Staley,AB,25,52,27,1.31,,3
217,CAF075,493488.0228,5180680.531,Thatuna,A2,31,54,23,1.09,6.22,3
224,CAF077,493551.8335,5180673.461,Palouse,AB,35,62,27,1.19,6.36,3
230,CAF079,493615.6537,5180675.171,Thatuna,A2,35,52,17,1.2,6.17,3
237,CAF081,493679.4708,5180673.992,Thatuna,BE,34,71,37,1.35,6.12,3
243,CAF083,493743.2704,5180656.035,Palouse,A2,40,60,20,1.54,6.06,3
249,CAF085,493807.105,5180671.637,Palouse,AB,31,62,31,1.31,5.98,3
255,CAF087,493870.9368,5180684.795,Naff,AB,46,74,28,1.61,6.26,3
261,CAF089,493935.2029,5180676.141,Palouse,A2,32,48,16,1.33,6.2,3
267,CAF091,493998.5585,5180669.998,Naff,A2,37,55,18,1.29,6.61,3
273,CAF093,494062.3704,5180663.489,Thatuna,A2,34,54,20,1.3,5.93,3
279,CAF095,493276.7264,5180689.078,Latah,E,31,65,34,1.38,5.68,3
287,CAF097,493339.9564,5180706.363,Thatuna,AE,37,52,15,1.47,5.47,3
294,CAF099,493403.7819,5180713.182,Staley,AB,33,53,20,1.38,6.11,3
302,CAF101,493467.5846,5180699.222,Palouse,Bw1,43,71,28,1.29,6.37,3
308,CAF103,493531.3986,5180695.374,Thatuna,A2,30,59,29,1.18,5.18,3
315,CAF105,493595.2216,5180699.973,Thatuna,AB,43,59,16,1.47,5.82,3
322,CAF107,493659.0377,5180698.127,Thatuna,BE,51.5,65,13.5,1.83,6.04,3
329,CAF109,493725.5766,5180706.699,Thatuna,EB,68,100,32,1.6,6.5,3
335,CAF111,493786.6792,5180703.217,Naff,Bw1,42,60,18,1.59,6.36,3
342,CAF113,493851.8467,5180685.551,Naff,Bw,45,66,21,1.56,6.02,3
348,CAF115,493915.6912,5180711.488,Naff,Bw,43,60,17,1.56,6.31,3
354,CAF117,493978.1305,5180700.466,Naff,A2,35,61.5,26.5,1.31,6.29,3
360,CAF119,494044.2265,5180700.47,Naff,AB,47,63,16,1.38,6.33,3
367,CAF121,494105.7794,5180713.451,Naff,AB,47,63,16,1.63,,3
374,CAF123,493337.2435,5180738.147,Latah,A2,41,72,31,1.15,5.52,3
380,CAF125,493401.0687,5180744.966,Thatuna,EB1,45,64,19,1.28,5.81,3
386,CAF127,493466.0706,5180730.206,Staley,Bw1,49.5,94,44.5,1.46,6.45,3
391,CAF129,493528.6847,5180727.158,Thatuna,BE,36.5,53,16.5,1.16,6.35,3
397,CAF131,493592.5074,5180731.757,Thatuna,A2,30,57,27,1.25,6.05,3
403,CAF133,493656.3232,5180729.911,Thatuna,Bw,49,79,30,1.36,5.62,3
409,CAF135,493720.1532,5180741.623,Palouse,A2,36,64,28,1.33,5.98,3
415,CAF137,493782.1431,5180736.366,Naff,A2,30,45,15,1.08,6.05,3
421,CAF139,493847.7654,5180719.155,Naff,AB,37,74.5,37.5,1.57,6.28,3
426,CAF141,493911.6096,5180745.093,Naff,A2,27,38,11,1.57,5.77,3
432,CAF143,493976.78,5180731.339,Naff,A2,42,61,19,1.55,6.09,3
439,CAF145,494039.2338,5180734.075,Naff,AB,32,50,18,1.57,6.08,3
445,CAF147,494103.0625,5180745.235,Naff,Bw,18,48,30,1.56,5.61,3
451,CAF149,493350.8639,5180767.357,Palouse,Bw1,34,70,36,1.18,5.49,3
457,CAF151,493417.8866,5180770.999,Palouse,Bw1,43,78,35,1.54,6.03,3
462,CAF153,493478.5079,5180775.884,Palouse,AB,46,66,20,1.27,,3
467,CAF155,493542.3175,5180768.814,Thatuna,E,49,71,22,1.64,6.46,3
472,CAF157,493606.1367,5180770.524,Thatuna,AE,25,43,18,1.34,6.32,3
478,CAF159,493669.9528,5180769.345,Palouse,Bw1,57,92,35,1.48,6.76,3
483,CAF161,493733.7514,5180751.388,Thatuna,AB,65,103,38,,6.16,3
489,CAF163,493797.585,5180766.989,Palouse,A2,34,72,38,1.24,6.04,3
494,CAF165,493861.4158,5180780.147,Palouse,Bw1,60,96,36,1.68,6.58,3
499,CAF167,493925.2257,5180772.86,Palouse,A2,34,52,18,1.64,6.87,3
505,CAF169,493989.0354,5180765.35,Naff,Bw,56,78,22,1.53,6.35,3
510,CAF171,494052.8464,5180758.841,Naff,BE,57,82,25,1.68,6.2,3
515,CAF173,494116.657,5180751.889,Thatuna,E,53,72,19,1.7,5.47,3
520,CAF175,493367.9983,5180799.119,Latah,A2,35,57,22,1.18,5.87,3
527,CAF177,493431.822,5180805.16,Palouse,BA,34,72,38,1.52,6.37,3
532,CAF179,493495.6416,5180807.646,Thatuna,Bw,34,68,34,1.2,,3
538,CAF181,493559.451,5180800.577,Thatuna,A2,27,55,28,1.41,5.73,3
544,CAF183,493623.2698,5180802.287,Palouse,Ab,43,89,46,1.31,6.16,3
549,CAF185,493687.0856,5180801.108,Thatuna,Bw,40,79,39,1.37,5.53,3
554,CAF187,493750.8839,5180783.151,Thatuna,EB,20,41,21,1.45,5.62,3
561,CAF189,493814.7171,5180798.753,Palouse,AB,31,62,31,1.19,5.71,3
567,CAF193,493942.3571,5180804.623,Palouse,Bw1,48,82,34,1.45,6.55,3
572,CAF195,494006.1666,5180797.114,Palouse,Bw1,45,70,25,1.3,6.22,3
578,CAF197,494069.9772,5180790.605,Palouse,Bw,45,86,41,1.6,6.37,3
583,CAF199,494133.7875,5180783.653,Thatuna,A,34,52,18,1.5,5.79,3
589,CAF201,493416.666,5180836.958,Thatuna,Bt,61,95,34,1.57,7.18,3
594,CAF203,493480.4853,5180839.444,Thatuna,BA,33,57,24,1.46,6.28,3
600,CAF205,493544.2943,5180832.374,Palouse,Ab,34,58,24,1.32,6.16,3
606,CAF207,493606.5134,5180835.683,Palouse,AB,46,70,24,1.11,6.11,3
612,CAF209,493671.9282,5180832.905,Naff,Bw,48,82,34,1.65,6.42,3
618,CAF211,493735.7261,5180814.947,Thatuna,Btb1,57,93,36,1.39,6.24,3
623,CAF213,493799.5591,5180830.549,Thatuna,AB,55,95,40,1.5,5.76,3
629,CAF215,493859.7475,5180844.162,Palouse,AB,37,59,22,1.33,5.58,3
635,CAF217,493927.1984,5180836.419,Palouse,Bw,38,83,45,1.39,6.3,3
640,CAF219,493991.0075,5180828.91,Palouse,Bw,44,83,39,1.32,6.69,3
645,CAF221,494054.8177,5180822.401,Palouse,Bw2,49,89,40,1.6,6.36,3
650,CAF223,494118.6277,5180815.449,Palouse,Bw,38,66,28,1.62,6.57,3
656,CAF225,493412.6587,5180872.077,Palouse,Bw,35,61,26,1.43,5.98,3
661,CAF227,493478.459,5180856.118,Palouse,Bw,42,69,27,1.44,6.42,3
666,CAF229,493540.2721,5180854.27,Naff,Bw,52,82,30,1.34,,3
671,CAF231,493604.0934,5180858.868,Palouse,A,28,48,20,1.65,6.28,3
677,CAF233,493667.9079,5180857.023,Staley,Bw1,46,67,21,1.25,7.25,3
682,CAF235,493731.7365,5180868.735,Palouse,Bw1,41,72,31,1.24,6.44,3
687,CAF237,493798.2411,5180860.384,Palouse,Bw2,49,80,31,1.64,6.25,3
692,CAF239,493858.4356,5180848.088,Palouse,AB,35,69,34,1.19,5.56,3
698,CAF241,493923.1888,5180872.205,Palouse,Bw1,56,97,41,1.55,6.44,3
703,CAF243,493986.9922,5180859.362,Palouse,Bw,49,85,36,1.39,6.47,3
709,CAF245,494050.8104,5180861.187,Palouse,Bw1,39,65,26,1.37,6.1,3
715,CAF247,494114.6377,5180872.347,Palouse,Bw1,50,83,33,1.5,6.47,3
720,CAF249,493445.5787,5180889.931,Thatuna,Bw2,43,76,33,1.34,5.56,3
727,CAF251,493509.3906,5180886.084,Staley,Bwk2,35,69,34,1.31,7.89,3
733,CAF253,493573.2116,5180890.682,Staley,Bw,39,79,40,1.58,8.81,3
738,CAF255,493637.0257,5180888.836,Palouse,AB,36,66,30,1.33,6.12,3
744,CAF257,493700.8541,5180900.548,Palouse,Bw2,60,95,35,1.41,6.61,3
749,CAF259,493764.6632,5180893.925,Palouse,Bw1,41,79,38,1.6,6.41,3
754,CAF261,493828.4629,5180878.08,Staley,Bw2,60,91,31,1.58,6.49,3
759,CAF263,493892.3055,5180904.017,Palouse,Bw,42,89,47,1.5,6.34,3
764,CAF265,493957.4741,5180890.263,Palouse,Bw1,58,89,31,1.26,6.36,3
769,CAF267,494019.9263,5180892.999,Palouse,BA,30,71,41,1.45,6.27,3
774,CAF269,494083.7533,5180904.159,Thatuna,A,29,55,26,1.3,5.84,3
780,CAF271,494147.5581,5180892.762,Palouse,AB,30,59,29,1.4,6.26,3
786,CAF273,493498.4511,5180934.767,Thatuna,EB,47,69,22,1.67,6.03,3
791,CAF275,493560.6597,5180928.897,Palouse,Bw2,46,74,28,1.31,6.17,3
796,CAF277,493626.0766,5180929.408,Staley,Bw,42,89,47,1.35,8.18,3
801,CAF279,493690.9522,5180926.713,Palouse,Bw1,44,65,21,1.56,6.21,3
806,CAF281,493754.8875,5180909.472,Staley,Bw,55,76,21,1.36,,3
811,CAF283,493817.5199,5180925.874,Palouse,Bw2,51,105,54,1.55,6.65,3
816,CAF285,493881.3489,5180939.032,Palouse,Bw2,60,80,20,1.51,6.47,3
821,CAF287,493945.1571,5180931.744,Palouse,BA,38,60,22,1.28,6.32,3
826,CAF289,494008.9652,5180924.235,Palouse,Bw1,44,80,36,1.36,6.54,3
832,CAF291,494072.7745,5180917.726,Palouse,Bw1,33,49,16,1.57,6.2,3
838,CAF293,494136.5834,5180910.774,Palouse,Bw1,36,79,43,1.65,6.31,3
843,CAF298,493502.6076,5180966.544,Palouse,Bw1,42,84,42,1.55,6.35,3
848,CAF300,493566.4152,5180959.474,Thatuna,BA,34,70,36,1.3,6.07,3
853,CAF302,493631.4319,5180959.585,Palouse,AB,37,71,34,1.33,6.21,3
859,CAF304,493694.0464,5180960.006,Palouse,Bw2,61,96,35,1.59,6.6,3
864,CAF306,493757.8431,5180942.048,Palouse,Bw1,49,78,29,1.57,6.47,3
869,CAF308,493821.6746,5180957.65,Palouse,Bw2,64,101,37,1.37,6.71,3
874,CAF310,493885.5034,5180970.809,Thatuna,BE,58,83,25,1.42,6.38,3
879,CAF312,493946.5799,5180965.797,Palouse,Bw1,36,64,28,1.15,6.16,3
884,CAF314,494013.119,5180956.012,Thatuna,EB,43,76,33,1.64,5.98,3
889,CAF316,494076.9279,5180949.503,Thatuna,Bw,61,94,33,1.53,6.48,3
895,CAF324,493530.6382,5180981.404,Palouse,Bw1,23,59,36,1.56,5.81,3
900,CAF326,493594.4582,5180986.002,Palouse,A,32,60,28,1.2,5.89,3
906,CAF328,493658.2713,5180984.157,Palouse,Bw1,52,84,32,1.44,6.48,3
911,CAF330,493722.0986,5180995.869,Palouse,AB,26,57,31,1.33,6.31,3
917,CAF332,493785.9066,5180989.246,Palouse,Bw1,22,53,31,1.37,6.03,3
923,CAF334,493849.7054,5180973.401,Palouse,Bw1,43,72,29,1.43,6.36,3
929,CAF336,493913.5469,5180999.338,Palouse,Bw1,48,90,42,1.46,6.14,3
934,CAF338,493977.9553,5180985.889,Thatuna,A2,21,60,39,1.32,5.52,3
940,CAF349,493572.819,5181023.029,Palouse,A2,34,68,34,1.31,5.97,3
946,CAF351,493636.6355,5181024.739,Staley,Bw1,32,78,46,1.43,6.13,3
951,CAF353,493700.4489,5181023.561,Palouse,Bw1,46,80,34,1.46,6.18,3
956,CAF355,493764.2449,5181005.603,Palouse,A2,37,62,25,1.28,6.09,3
961,CAF357,493828.0757,5181021.206,Palouse,Bw1,44,61,17,1.29,6.25,3
967,CAF359,493891.9038,5181034.364,Palouse,Bw,52,85,33,1.59,6.25,3
972,CAF371,493570.4942,5181049.809,Latah,E,57,77,20,1.28,5.88,3
978,CAF373,493635.3715,5181056.522,Thatuna,AE,35,68,33,1.47,5.96,3
984,CAF375,493700.3841,5181054.144,Palouse,Bw1,29,59,30,1.26,6.06,3
990,CAF377,493767.3783,5181033.528,Palouse,BE,41,76,35,1.32,6.19,3
996,CAF379,493826.8108,5181052.988,Palouse,Bw1,50,84,34,1.41,6.22,3
1001,CAF381,493890.6385,5181066.146,Thatuna,AB2,33,59,26,1.36,5.69,3
1008,CAF395,493626.398,5181088.312,Caldwell,AB1,32,53,21,1.31,5.76,3
1014,CAF397,493690.2107,5181087.133,Palouse,BA,24,46,22,1.4,,3
1021,CAF399,493754.006,5181069.176,Thatuna,Bw,38,74,36,1.39,6.04,3
1026,CAF401,493817.8362,5181084.778,Thatuna,Bw,25,57,32,1.41,5.83,3
1032,CAF419,493648.3558,5181104.302,Thatuna,A,23,43,20,1.3,5.31,3
1040,CAF421,493712.7748,5181114.814,Latah,AE,42,73,31,1.26,,3
1046,CAF423,493780.1935,5181114.779,Latah,A2,32,60,28,1.48,5.71,3
1053,CAF425,493841.5918,5181100.533,Caldwell,AB,57,87,30,1.54,6.02,3
