,SOURCEID,Easting,Northing,TAXSUSDA,HZDUSD,UHDICM,LHDICM,Hordepth,BLD,PHIHOX,Horizon
3,CAF003,493383.1071,5180586.081,Naff,AB,39,65,26,1.52,6.25,3
8,CAF005,493446.9111,5180572.12,Palouse,BA,42,66,24,1.36,6.26,3
13,CAF007,493510.7264,5180568.273,Palouse,Bw,66,84,18,1.45,6.44,3
18,CAF009,493574.5508,5180572.871,Palouse,Bw1,47,73,26,1.4,6.38,3
23,CAF011,493638.3683,5180571.025,Palouse,AB,44,62,18,1.43,6.27,3
28,CAF013,493702.2,5180582.737,Naff,AB,48,77,29,1.61,6.11,3
33,CAF015,493797.9223,5180576.303,Latah,BE,40,64,24,1.5,6.08,3
39,CAF017,493893.6615,5180586.206,Palouse,A2,33,65,32,,5.95,3
44,CAF019,493246.5977,5180590.191,Latah,Bw,48,64,16,1.65,6.08,3
51,CAF021,493309.2174,5180591.83,Staley,AB,25,49,24,1.27,6.14,3
57,CAF023,493371.4556,5180609.627,Palouse,BA,37,59,22,1.54,,3
63,CAF025,493436.8807,5180614.469,Naff,Bw,33,58,25,1.4,6.1,3
69,CAF027,493502.3017,5180616.156,Palouse,Bw1,41,62,21,1.4,6.14,3
75,CAF029,493564.5137,5180609.886,Staley,Bw1,50,68,18,1.56,6.69,3
81,CAF031,493628.3346,5180611.596,Palouse,A2,40,57,17,1.41,6.42,3
87,CAF033,493692.1524,5180610.417,Staley,Bk,21,59,38,1.39,7.12,3
93,CAF035,493755.9527,5180592.46,Naff,A2,24,45,21,1.48,6.2,3
100,CAF037,493819.788,5180608.062,Latah,AE,26.5,42,15.5,1.43,6.77,3
107,CAF039,493883.6204,5180621.22,Latah,Btk1,38,54,16,1.66,7.25,3
113,CAF041,493947.432,5180613.932,Palouse,AB,27,66,39,1.18,6.26,3
118,CAF043,493257.9566,5180626.446,Latah,A2,36,68,32,1.48,5.46,3
124,CAF045,493323.2034,5180641.411,Palouse,BA2,44,69,25,1.28,7.76,3
130,CAF047,493385.6199,5180649.64,Palouse,Bw1,53,90,37,1.42,,3
135,CAF049,493449.4233,5180635.68,Palouse,A2,45,71,26,1.27,6.34,3
142,CAF051,493514.0376,5180631.032,Palouse,BA,46,71,25,1.34,6.22,3
148,CAF053,493577.0617,5180636.431,Palouse,AB,39,70,31,1.29,6.32,3
154,CAF055,493640.8785,5180634.585,Palouse,Bw1,46,83,37,1.33,6.51,3
